p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
EIF1AY	2.19379148626312e-55	1.20749168375073	0.216	0	4.80242894257859e-51	OA_BT	EIF1AY
HLA-DRB1	5.01061765331936e-44	2.48888187116493	0.922	0.571	1.09687431048814e-39	OA_BT	HLA-DRB1
TXNIP	1.55235036217223e-30	1.59653071048134	0.961	0.863	3.39825017783124e-26	OA_BT	TXNIP
SH3BGRL3	1.02819097140142e-27	1.2780549937938	0.961	0.98	2.25081285549485e-23	OA_BT	SH3BGRL3
RPSA	6.08533676887597e-27	1.11447230937043	0.961	0.938	1.33214107207464e-22	OA_BT	RPSA
CD74	3.62028268337386e-26	1.42443422196612	0.931	0.808	7.92516082217371e-22	OA_BT	CD74
RPL10	2.1497270157104e-25	0.818869168537709	1	0.994	4.70596741009163e-21	OA_BT	RPL10
LSP1	5.83530745898396e-24	1.56934570396365	0.824	0.73	1.27740715584618e-19	OA_BT	LSP1
TMSB4X	4.36972817262439e-23	0.65967924458506	1	0.996	9.56577194269206e-19	OA_BT	TMSB4X
XCL1	2.23043843387644e-22	0.643165834940813	0.118	0.004	4.88265277559891e-18	OA_BT	XCL1
RPS26	4.40348832227961e-21	1.14555757680153	0.941	0.914	9.63967628630229e-17	OA_BT	RPS26
FCER1A	6.75959383410615e-21	0.571775574297469	0.088	0.001	1.47974268622418e-16	OA_BT	FCER1A
RPS5	7.81880572253887e-20	1.00266829980995	0.961	0.917	1.71161476072098e-15	OA_BT	RPS5
CST3	1.21666563034809e-19	2.04635795382783	0.618	0.331	2.663402731395e-15	OA_BT	CST3
RPL11	1.98604083990887e-19	0.691758146687342	0.99	0.993	4.3476420026445e-15	OA_BT	RPL11
RPL19	2.9578350863637e-19	0.839249539788125	0.99	0.977	6.47499678755878e-15	OA_BT	RPL19
RPS27A	1.24418661617204e-18	0.727579523044477	1	0.988	2.72364892146222e-14	OA_BT	RPS27A
PFN1	2.2175639997712e-18	1.00119267434101	0.971	0.95	4.85446935189914e-14	OA_BT	PFN1
HLA-DRA	7.01633064518274e-18	1.26528968401386	0.833	0.727	1.53594494153695e-13	OA_BT	HLA-DRA
RPS10	8.79332917753519e-18	0.881379547671714	0.941	0.928	1.92494769025423e-13	OA_BT	RPS10
RPS3	1.62886675591538e-17	0.711562338315718	0.99	0.981	3.56575221537435e-13	OA_BT	RPS3
HLA-DQA1	1.90080357856055e-17	1.62664066171343	0.451	0.168	4.1610491138269e-13	OA_BT	HLA-DQA1
RPLP1	4.37429045879655e-17	0.572358132250607	1	0.999	9.57575924335153e-13	OA_BT	RPLP1
HLA-DPA1	7.657775946002e-17	1.18400073820703	0.804	0.687	1.6763637323393e-12	OA_BT	HLA-DPA1
ALOX5AP	7.8269927806998e-17	1.25628021956705	0.814	0.656	1.71340698962299e-12	OA_BT	ALOX5AP
XCL2	1.57181150652212e-16	0.858391450779051	0.098	0.004	3.44085256892758e-12	OA_BT	XCL2
RPL18A	1.76167615505061e-16	0.719291112391299	0.98	0.983	3.8564852710213e-12	OA_BT	RPL18A
RPL13	2.33091027360267e-16	0.574715383731574	0.99	0.998	5.1025956799436e-12	OA_BT	RPL13
CFL1	2.89612771272298e-16	0.830739411782441	0.971	0.953	6.33991317592187e-12	OA_BT	CFL1
USP9Y	4.21489885750824e-16	0.409609267805871	0.059	0	9.22683508897129e-12	OA_BT	USP9Y
DDX3Y	4.21489885750824e-16	0.328488713102696	0.059	0	9.22683508897129e-12	OA_BT	DDX3Y
RPL10A	1.88698650127767e-15	0.800406767417359	0.912	0.917	4.13080214994696e-11	OA_BT	RPL10A
CD1C	2.3048471085921e-15	0.70029939276119	0.098	0.005	5.04554080541897e-11	OA_BT	CD1C
MYL12B	2.35875599284039e-15	0.793850923667205	0.912	0.939	5.16355274392689e-11	OA_BT	MYL12B
RPL28	7.26495296487965e-15	0.52807221262287	0.99	0.995	1.5903708535418e-10	OA_BT	RPL28
UTY	1.1676072358853e-13	0.424501371917409	0.049	0	2.55600900007651e-09	OA_BT	UTY
EEF1A1	2.01054468151554e-13	0.518449654627621	0.99	0.995	4.40128336230567e-09	OA_BT	EEF1A1
C1orf162	3.92489226332729e-13	1.17254517083264	0.265	0.071	8.59198165364977e-09	OA_BT	C1orf162
MYL12A	2.5326356254213e-12	0.761479129712158	0.912	0.901	5.54419264760977e-08	OA_BT	MYL12A
TMSB10	2.75818272587254e-12	0.536897255157847	0.99	0.993	6.03793780520759e-08	OA_BT	TMSB10
RPL32	5.16307823761116e-12	0.508604152276236	1	0.991	1.13024945699546e-07	OA_BT	RPL32
HINT1	6.26157888076359e-12	0.846828270173828	0.863	0.87	1.37072223278796e-07	OA_BT	HINT1
ACTB	2.3203937998436e-11	0.795516940897299	0.971	0.995	5.07957406723761e-07	OA_BT	ACTB
GATA3-AS1	2.7523176425362e-11	0.44072610205752	0.049	0.001	6.02509855127599e-07	OA_BT	GATA3-AS1
TSPO	2.84048471750001e-11	0.972118500896687	0.775	0.854	6.21810509507928e-07	OA_BT	TSPO
HLA-DPB1	3.0504500312104e-11	1.20073975324749	0.725	0.656	6.67774016332269e-07	OA_BT	HLA-DPB1
KDM5D	3.26711154937563e-11	0.328994313440314	0.039	0	7.15203389273819e-07	OA_BT	KDM5D
RPS7	5.64745381206195e-11	0.664901466897429	0.931	0.975	1.23628411399848e-06	OA_BT	RPS7
RPL8	5.99057084018349e-11	0.563466976400013	0.971	0.974	1.31139586262457e-06	OA_BT	RPL8
MIR155HG	9.73089003520763e-11	1.4848987619765	0.363	0.149	2.1301891376073e-06	OA_BT	MIR155HG
RPS12	1.83314729886294e-10	0.477923914564085	1	0.975	4.01294275194085e-06	OA_BT	RPS12
UBA52	2.00650511069727e-10	0.568932036361567	0.931	0.972	4.39244033782739e-06	OA_BT	UBA52
KLRB1	3.26498776669713e-10	1.33952071073341	0.735	0.621	7.1473847200767e-06	OA_BT	KLRB1
CD52	4.92432079599027e-10	1.13951167242149	0.804	0.846	1.07798306545023e-05	OA_BT	CD52
