p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RNF213	2.01765367816738e-50	0.653340247112038	0.914	0.739	4.4168456668762e-46	RA_BT	RNF213
SOCS3	1.84061840721617e-45	0.71933803714444	0.526	0.253	4.02929775523691e-41	RA_BT	SOCS3
MIAT	7.03041523857891e-43	0.665776516368707	0.667	0.396	1.53902819987731e-38	RA_BT	MIAT
IQGAP2	7.23057686179144e-35	0.55956903818969	0.78	0.557	1.58284558081476e-30	RA_BT	IQGAP2
PDE3B	1.08454109389889e-32	0.600793643084336	0.577	0.352	2.37416890865405e-28	RA_BT	PDE3B
FYB1	1.09556454213807e-32	0.457357960687208	0.94	0.847	2.39830033919445e-28	RA_BT	FYB1
SLC2A3	5.18941627182972e-32	0.544318848756025	0.533	0.296	1.13601511606624e-27	RA_BT	SLC2A3
DUSP4	1.68478109683608e-30	0.581548101062775	0.63	0.415	3.68815429908385e-26	RA_BT	DUSP4
NEAT1	4.46035563590323e-29	0.540089394834315	0.993	0.978	9.76416452255577e-25	RA_BT	NEAT1
PRDM1	1.91022902143273e-28	0.550710892975174	0.748	0.553	4.18168235081839e-24	RA_BT	PRDM1
ZNRF1	2.00379563529461e-28	0.46161453080192	0.747	0.573	4.38650902522342e-24	RA_BT	ZNRF1
SYNE2	1.72465256453082e-27	0.541540165061015	0.879	0.747	3.77543692901442e-23	RA_BT	SYNE2
FYN	4.95884574674496e-27	0.489061019600721	0.801	0.625	1.08554092241994e-22	RA_BT	FYN
JAK3	4.98523391490634e-27	0.445896377052582	0.671	0.457	1.09131755631215e-22	RA_BT	JAK3
TSHZ2	6.65155692358135e-27	0.536231443288486	0.819	0.654	1.45609232614119e-22	RA_BT	TSHZ2
GPRIN3	1.84159014533784e-26	0.60106517973467	0.632	0.432	4.03142498715907e-22	RA_BT	GPRIN3
SMCHD1	1.5792091578287e-25	0.493822575604684	0.696	0.502	3.4570467674028e-21	RA_BT	SMCHD1
CYTOR	3.61202139318302e-25	0.520468508953982	0.646	0.442	7.90707603181696e-21	RA_BT	CYTOR
MT-ND3	2.11235496936012e-24	0.370500016041746	0.998	0.993	4.62415626342624e-20	RA_BT	MT-ND3
SBNO2	9.34762273860975e-23	0.40504989476627	0.406	0.221	2.04628809370906e-18	RA_BT	SBNO2
SRRM2	1.90095862685093e-22	0.414511652285979	0.837	0.698	4.16138853003938e-18	RA_BT	SRRM2
IFI16	4.01185354535592e-22	0.39467450475558	0.872	0.734	8.78234859613865e-18	RA_BT	IFI16
IKZF3	6.39784761088568e-22	0.489169786811717	0.682	0.533	1.40055282049898e-17	RA_BT	IKZF3
CNOT6L	8.80486896974502e-22	0.430115085443311	0.709	0.497	1.92747386616688e-17	RA_BT	CNOT6L
KIAA0319L	1.00701428899997e-21	0.565403762305791	0.469	0.283	2.20445498004984e-17	RA_BT	KIAA0319L
GBP5	1.20033688262644e-21	0.452290502109077	0.504	0.325	2.62765746975754e-17	RA_BT	GBP5
ARID5B	6.64951383508258e-21	0.470961970167339	0.732	0.572	1.45564507363793e-16	RA_BT	ARID5B
IKBKB	1.04531547672823e-20	0.392891829469168	0.43	0.248	2.28830011010576e-16	RA_BT	IKBKB
DDX5	2.06734428284186e-20	0.298564706939381	0.961	0.922	4.52562336956911e-16	RA_BT	DDX5
EVL	3.54625375317105e-20	0.384104714315204	0.769	0.604	7.76310409106674e-16	RA_BT	EVL
ST8SIA1	4.03020017098484e-20	0.359569115398907	0.281	0.131	8.82251119430291e-16	RA_BT	ST8SIA1
FURIN	7.34154589846465e-20	0.487112223126778	0.454	0.285	1.6071378126329e-15	RA_BT	FURIN
MIR4435-2HG	1.65225394855123e-19	0.438187779409392	0.505	0.331	3.6169491187735e-15	RA_BT	MIR4435-2HG
NOP58	1.77599167526891e-19	0.426619065896207	0.49	0.317	3.88782337633117e-15	RA_BT	NOP58
MACF1	2.48625083264912e-19	0.393937261224525	0.637	0.464	5.4426516977522e-15	RA_BT	MACF1
MT-CO1	2.71136472576145e-19	0.221453627448902	0.998	0.997	5.93544852116439e-15	RA_BT	MT-CO1
IRF1	3.21390366216817e-19	0.443663949625739	0.661	0.492	7.03555650685233e-15	RA_BT	IRF1
S100A9	4.10843435631025e-19	0.358368901150026	0.413	0.24	8.99377364939876e-15	RA_BT	S100A9
TENT5C	4.48592358317891e-19	0.395592470135159	0.432	0.257	9.82013531593695e-15	RA_BT	TENT5C
PDE4B	5.11550504787594e-19	0.423687032825099	0.376	0.215	1.11983521003052e-14	RA_BT	PDE4B
ANKRD11	1.38621659577795e-18	0.36743897446484	0.762	0.6	3.03456674981752e-14	RA_BT	ANKRD11
PTPN13	2.35870819154544e-18	0.466776735027198	0.38	0.219	5.16344810211212e-14	RA_BT	PTPN13
THADA	3.22652787296553e-18	0.416738404475608	0.407	0.245	7.06319216670885e-14	RA_BT	THADA
TPST2	4.37379392212384e-18	0.414992636204892	0.436	0.269	9.57467227492129e-14	RA_BT	TPST2
MAF	4.92422647680673e-18	0.388161734720173	0.931	0.861	1.07796241803776e-13	RA_BT	MAF
AKAP13	5.29633019309477e-18	0.352509421979984	0.894	0.785	1.15941964257038e-13	RA_BT	AKAP13
MFHAS1	6.08246266392887e-18	0.389952467053655	0.492	0.322	1.33151190176067e-13	RA_BT	MFHAS1
GBP2	1.28984689184144e-17	0.400209102270407	0.645	0.487	2.82360383093011e-13	RA_BT	GBP2
MT-ND1	1.45201642484582e-17	0.22634270387468	0.997	0.988	3.17860915562999e-13	RA_BT	MT-ND1
NFKBIZ	3.0228947266498e-17	0.284953036852125	0.296	0.15	6.61741884610907e-13	RA_BT	NFKBIZ
TP53INP1	3.61706560953025e-17	0.467395326709588	0.447	0.285	7.91811832582268e-13	RA_BT	TP53INP1
SYTL2	4.01621444030441e-17	0.396470547318783	0.35	0.2	8.79189503127038e-13	RA_BT	SYTL2
RGS1	4.28698668553292e-17	0.598224529209432	0.479	0.322	9.38464255330011e-13	RA_BT	RGS1
STAT1	6.65957073083989e-17	0.33601957729777	0.471	0.305	1.45784662868816e-12	RA_BT	STAT1
SYNE1	7.28129713839914e-17	0.347873469359589	0.463	0.297	1.59394875656696e-12	RA_BT	SYNE1
GK	1.40095573156482e-16	0.538126130084648	0.383	0.238	3.06683219196855e-12	RA_BT	GK
LGALS8	4.01307234440646e-16	0.346966063260759	0.469	0.309	8.78501666914019e-12	RA_BT	LGALS8
GIMAP4	4.30438338881621e-16	0.454852868607234	0.767	0.659	9.42272567645757e-12	RA_BT	GIMAP4
ATRX	5.89099816952721e-16	0.332295559509079	0.736	0.581	1.2895984092912e-11	RA_BT	ATRX
MT-CO3	6.68223482605813e-16	0.216890637529808	1	0.998	1.46280802577239e-11	RA_BT	MT-CO3
CHST11	6.91729896153048e-16	0.320730439259539	0.403	0.248	1.51426591566864e-11	RA_BT	CHST11
IL6ST	7.74658423735659e-16	0.507836694533339	0.661	0.508	1.69580475539973e-11	RA_BT	IL6ST
STAT3	1.70049325079676e-15	0.322945798667595	0.756	0.584	3.72254977531918e-11	RA_BT	STAT3
WIPF1	2.35383982990202e-15	0.302977958796439	0.763	0.613	5.1527907716385e-11	RA_BT	WIPF1
USP34	2.5745843564646e-15	0.324876696400495	0.524	0.365	5.63602261473666e-11	RA_BT	USP34
EML4	2.81678194186742e-15	0.352407799908531	0.681	0.535	6.16621734894197e-11	RA_BT	EML4
PDE4D	3.07558905273471e-15	0.373268737603691	0.443	0.288	6.73277199534155e-11	RA_BT	PDE4D
DUSP16	4.97769599015201e-15	0.317633852414101	0.345	0.203	1.08966742920418e-10	RA_BT	DUSP16
VMP1	4.97832788187437e-15	0.345313847703759	0.726	0.584	1.08980575662112e-10	RA_BT	VMP1
JAK1	6.70413712000082e-15	0.27375568846007	0.813	0.687	1.46760265693938e-10	RA_BT	JAK1
AC005224.3	7.69989066683661e-15	0.356960548122613	0.194	0.088	1.6855830658772e-10	RA_BT	AC005224.3
HELB	9.24706152904509e-15	0.305049814470519	0.275	0.15	2.02427423932326e-10	RA_BT	HELB
ARGLU1	9.39303012926083e-15	0.309379885316213	0.856	0.721	2.05622822559649e-10	RA_BT	ARGLU1
PREX1	1.18790444201504e-14	0.320686166524583	0.494	0.331	2.60044161401512e-10	RA_BT	PREX1
RPL39	1.32229254904073e-14	0.238740639891848	0.996	0.987	2.89463061910505e-10	RA_BT	RPL39
PAG1	2.18200429181826e-14	0.333800382562477	0.505	0.349	4.77662559521935e-10	RA_BT	PAG1
SATB1	2.79280333633057e-14	0.293794851114182	0.179	0.079	6.11372578356126e-10	RA_BT	SATB1
CFLAR	3.0813316521181e-14	0.306939231522784	0.919	0.815	6.74534311965172e-10	RA_BT	CFLAR
THOC2	4.15192138769716e-14	0.277063207076787	0.453	0.296	9.08897110980785e-10	RA_BT	THOC2
MAP3K5	4.72402481299442e-14	0.327277766786398	0.268	0.152	1.03413627181261e-09	RA_BT	MAP3K5
UHRF2	4.99130398104177e-14	0.3037431375273	0.312	0.182	1.09264635448985e-09	RA_BT	UHRF2
