p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
MT-ND3	1.91697586085356e-23	0.39907054775915	1	0.998	4.19645185699453e-19	RA_BT	MT-ND3
TSHZ2	2.2095934253053e-21	0.602410213062022	0.87	0.738	4.83702096733584e-17	RA_BT	TSHZ2
MAF	1.38922304885663e-19	0.530394449483636	0.936	0.913	3.04114817625204e-15	RA_BT	MAF
PTPRC	2.25561556660335e-19	0.393572436196286	0.986	0.983	4.93776803685139e-15	RA_BT	PTPRC
NEAT1	1.32903196253953e-18	0.567684967297827	0.995	0.992	2.90938386919528e-14	RA_BT	NEAT1
FYB1	5.57663514613644e-18	0.507104961061305	0.923	0.858	1.22078119984073e-13	RA_BT	FYB1
AC058791.1	1.09929886839294e-17	0.575001145590491	0.728	0.539	2.406475152799e-13	RA_BT	AC058791.1
SOCS3	1.22066299342515e-17	0.65319469893923	0.52	0.306	2.672153358907e-13	RA_BT	SOCS3
SYNE2	4.25056395185629e-16	0.56895224747371	0.882	0.789	9.3049095470086e-12	RA_BT	SYNE2
F5	6.04580906022486e-16	0.638592628954059	0.466	0.277	1.32348806137382e-11	RA_BT	F5
ANKRD28	1.57376506986924e-15	0.429475342198336	0.858	0.772	3.44512911445075e-11	RA_BT	ANKRD28
PPP2R5C	3.81128591695803e-15	0.46531291425183	0.894	0.836	8.34328600081283e-11	RA_BT	PPP2R5C
LDLR	9.04163054183135e-15	0.54215723384279	0.394	0.21	1.9793033419123e-10	RA_BT	LDLR
ARID5B	1.12597405412589e-14	0.542469570514749	0.778	0.669	2.46486980188698e-10	RA_BT	ARID5B
GPRIN3	4.03830599509453e-13	0.675656964838554	0.656	0.521	8.84025565386143e-09	RA_BT	GPRIN3
DDX5	1.1839326083668e-12	0.333536793717577	0.952	0.953	2.59174687297577e-08	RA_BT	DDX5
SMCHD1	3.74340329682094e-12	0.524696932692083	0.718	0.591	8.19468415707072e-08	RA_BT	SMCHD1
ZEB2	6.66130959345075e-12	0.549684017876328	0.635	0.501	1.4582272831023e-07	RA_BT	ZEB2
IQGAP2	8.08905505566449e-12	0.457335271391565	0.805	0.698	1.77077504223551e-07	RA_BT	IQGAP2
SMG1	1.69788477925391e-11	0.468695557332855	0.642	0.479	3.71683957026474e-07	RA_BT	SMG1
AC016831.5	1.89402675295426e-11	0.390173568934505	0.56	0.391	4.14621396489217e-07	RA_BT	AC016831.5
ZNF292	2.18915719856328e-11	0.468083528481627	0.707	0.599	4.79228402337487e-07	RA_BT	ZNF292
DUSP4	2.74225861987936e-11	0.449949046449629	0.682	0.551	6.00307834477791e-07	RA_BT	DUSP4
PDE3B	2.76582078763946e-11	0.525609766781821	0.619	0.485	6.05465828622154e-07	RA_BT	PDE3B
CD7	3.00879528594667e-11	0.334588003879821	0.902	0.773	6.58655376046586e-07	RA_BT	CD7
PTPN13	3.90716291005483e-11	0.614264516203667	0.41	0.253	8.55317032640103e-07	RA_BT	PTPN13
ANK3	5.43670788775134e-11	0.615100099614202	0.384	0.228	1.19014972370765e-06	RA_BT	ANK3
