p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RNF213	5.86029799433447e-54	1.02896347501255	0.935	0.619	1.28287783393976e-49	RA_BT	RNF213
MIAT	1.56289578648595e-39	0.898047587874846	0.655	0.267	3.42133516619639e-35	RA_BT	MIAT
SOCS3	3.14473880478325e-30	0.764397435052049	0.533	0.204	6.88414771755102e-26	RA_BT	SOCS3
SLC2A3	5.54988060140288e-30	0.652932599383175	0.552	0.213	1.2149243624531e-25	RA_BT	SLC2A3
MT-CO1	6.35885017784479e-29	0.369563942239433	0.996	0.996	1.392015892432e-24	RA_BT	MT-CO1
SPP1	7.43782232920856e-28	0.950381301157118	0.352	0.097	1.62821368608705e-23	RA_BT	SPP1
GIMAP4	2.20029393662478e-27	0.706132744175457	0.895	0.67	4.81666345666531e-23	RA_BT	GIMAP4
LCK	1.82692464441711e-26	0.605883120473697	0.907	0.684	3.99932073909349e-22	RA_BT	LCK
CXCR6	2.80405107192304e-26	0.953800253629619	0.487	0.206	6.13834820154672e-22	RA_BT	CXCR6
MYO1F	1.27952565583576e-25	0.635209145569011	0.731	0.401	2.80100961319006e-21	RA_BT	MYO1F
IQGAP2	3.64507403626497e-25	0.605167258021918	0.749	0.43	7.97943157278765e-21	RA_BT	IQGAP2
PPP1R18	5.97061819489733e-24	0.59504787770284	0.675	0.365	1.30702802904497e-19	RA_BT	PPP1R18
PDE3B	6.78827428725649e-24	0.612228792229261	0.523	0.232	1.48602112422332e-19	RA_BT	PDE3B
GBP5	1.07917651792325e-23	0.623846964538061	0.556	0.265	2.36242531538578e-19	RA_BT	GBP5
LCP2	1.26219496118881e-23	0.543800141555905	0.62	0.304	2.76307098953843e-19	RA_BT	LCP2
BPTF	1.48913580742732e-23	0.609379373632301	0.705	0.396	3.25986719603914e-19	RA_BT	BPTF
PRDM1	1.67661500386261e-23	0.651382108011824	0.646	0.336	3.67027790495564e-19	RA_BT	PRDM1
IKZF3	4.73206654955264e-23	0.688746712244173	0.735	0.474	1.03589668836257e-18	RA_BT	IKZF3
MT-CO3	4.94909257301219e-23	0.348677225005811	1	0.997	1.0834058551581e-18	RA_BT	MT-CO3
DDIT4	5.0359278059473e-23	0.61150585155231	0.59	0.276	1.10241495599992e-18	RA_BT	DDIT4
XAF1	1.29083088097037e-22	0.634436110573139	0.479	0.206	2.82575788153223e-18	RA_BT	XAF1
XBP1	7.34454589206876e-22	0.682583188847922	0.521	0.251	1.60779454123277e-17	RA_BT	XBP1
UQCRB	2.84590720079072e-21	0.490422012958798	0.899	0.692	6.22997545325097e-17	RA_BT	UQCRB
TPT1	2.88855977962402e-21	0.323403995258322	0.992	0.999	6.32334621357495e-17	RA_BT	TPT1
SLFN5	3.83311124746511e-21	0.629137012602828	0.697	0.421	8.39106383182586e-17	RA_BT	SLFN5
TPST2	6.99475450561605e-21	0.553943740793937	0.533	0.249	1.53122170882441e-16	RA_BT	TPST2
MIR4435-2HG	9.78131863756542e-21	0.566968888964871	0.6	0.309	2.14122846294945e-16	RA_BT	MIR4435-2HG
SLC9A3R1	1.39636636104814e-20	0.445760291294657	0.592	0.289	3.05678560097048e-16	RA_BT	SLC9A3R1
CYTOR	1.92539035914836e-20	0.578662802142728	0.701	0.41	4.21487203521168e-16	RA_BT	CYTOR
DUSP4	2.32660093822062e-20	0.668890209364139	0.566	0.291	5.09316211385876e-16	RA_BT	DUSP4
GBP2	3.42600654025066e-20	0.534867764596971	0.711	0.434	7.49987091726271e-16	RA_BT	GBP2
JAK3	3.75840107943695e-20	0.500608012453952	0.705	0.388	8.22751580299543e-16	RA_BT	JAK3
MACF1	3.79869834826743e-20	0.547142135784645	0.673	0.388	8.31573055419223e-16	RA_BT	MACF1
ZFP36L2	4.50337191500216e-20	0.668395664733957	0.826	0.602	9.85833145913122e-16	RA_BT	ZFP36L2
ZNRF1	4.55946890082981e-20	0.545186779105248	0.76	0.496	9.98113337080655e-16	RA_BT	ZNRF1
PIM1	4.63129103663253e-20	0.594745798585289	0.58	0.298	1.01383592082923e-15	RA_BT	PIM1
STK17A	6.01690389013871e-20	0.511077281434756	0.774	0.497	1.31716043059027e-15	RA_BT	STK17A
S100A9	1.46642192006092e-19	0.426448153092704	0.473	0.202	3.21014422520537e-15	RA_BT	S100A9
PARP9	3.44573182989329e-19	0.421155861772508	0.455	0.191	7.5430515488194e-15	RA_BT	PARP9
NFATC2	5.28507646445185e-19	0.499853798533947	0.424	0.177	1.15695608883315e-14	RA_BT	NFATC2
SP110	8.06785402767727e-19	0.474622116514905	0.614	0.323	1.76613392519883e-14	RA_BT	SP110
KIAA1551	9.46443024237824e-19	0.574565458823544	0.749	0.468	2.07185842435902e-14	RA_BT	KIAA1551
