SOURCE	TARGET	count
SPP1+ Mac_OA_BT	SPP1+ Mac_OA_BT	15
SPP1+ Mac_OA_BT	C1QC+ Mac_OA_BT	40
SPP1+ Mac_OA_BT	S100A12+ Mac_OA_BT	7
SPP1+ Mac_OA_BT	IEG Mac_OA_BT	5
SPP1+ Mac_OA_BT	Mac_OA_BT	6
SPP1+ Mac_OA_BT	CCL4+ Mac_OA_BT	4
SPP1+ Mac_OA_BT	SPP1+ Mac_RA_BT	84
SPP1+ Mac_OA_BT	S100A12+ Mac_RA_BT	65
SPP1+ Mac_OA_BT	IEG Mac_RA_BT	52
SPP1+ Mac_OA_BT	Mac_RA_BT	45
SPP1+ Mac_OA_BT	C1QC+ Mac_RA_BT	62
SPP1+ Mac_OA_BT	CCL4+ Mac_RA_BT	68
SPP1+ Mac_OA_BT	Mac_RA_AT	37
SPP1+ Mac_OA_BT	C1QC+ Mac_RA_AT	68
SPP1+ Mac_OA_BT	SPP1+ Mac_RA_AT	60
SPP1+ Mac_OA_BT	S100A12+ Mac_RA_AT	55
SPP1+ Mac_OA_BT	IEG Mac_RA_AT	29
SPP1+ Mac_OA_BT	CCL4+ Mac_RA_AT	73
SPP1+ Mac_OA_BT	ZNF683+ CD8+ Trm_OA_BT	6
SPP1+ Mac_OA_BT	GZMK+ CD8+ NKTem_OA_BT	7
SPP1+ Mac_OA_BT	GNLY+ NK_OA_BT	4
SPP1+ Mac_OA_BT	Naive T_OA_BT	5
SPP1+ Mac_OA_BT	GZMK+ CD8+ Tem2_OA_BT	6
SPP1+ Mac_OA_BT	GZMK+ CD8+ Tem1_OA_BT	3
SPP1+ Mac_OA_BT	Proliferating CD8+ T_OA_BT	21
SPP1+ Mac_OA_BT	CD4+ Tex_OA_BT	4
SPP1+ Mac_OA_BT	Treg_OA_BT	6
SPP1+ Mac_OA_BT	Proliferating NK_OA_BT	12
SPP1+ Mac_OA_BT	Naive T_RA_BT	23
SPP1+ Mac_OA_BT	Treg_RA_BT	23
SPP1+ Mac_OA_BT	CD4+ Tex_RA_BT	32
SPP1+ Mac_OA_BT	GZMK+ CD8+ Tem2_RA_BT	21
SPP1+ Mac_OA_BT	GNLY+ NK_RA_BT	24
SPP1+ Mac_OA_BT	ZNF683+ CD8+ Trm_RA_BT	23
SPP1+ Mac_OA_BT	Proliferating CD8+ T_RA_BT	37
SPP1+ Mac_OA_BT	GZMK+ CD8+ Tem1_RA_BT	26
SPP1+ Mac_OA_BT	Proliferating NK_RA_BT	10
