SOURCE	TARGET	count
SPP1+ Mac_OA_BT_None	SPP1+ Mac_OA_BT_None	9
SPP1+ Mac_OA_BT_None	S100A12+ Mac_OA_BT_None	5
SPP1+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_OA_BT_None	5
SPP1+ Mac_OA_BT_None	CD4+ Tex_OA_BT_None	4
SPP1+ Mac_OA_BT_None	Treg_OA_BT_None	6
SPP1+ Mac_OA_BT_None	SPP1+ Mac_RA_BT	63
SPP1+ Mac_OA_BT_None	S100A12+ Mac_RA_BT	53
SPP1+ Mac_OA_BT_None	Treg_RA_BT	19
SPP1+ Mac_OA_BT_None	CD4+ Tex_RA_BT	25
SPP1+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_RA_BT	24
SPP1+ Mac_OA_BT_None	SPP1+ Mac_RA_AT_Adalimumab	33
SPP1+ Mac_OA_BT_None	Treg_RA_AT_Adalimumab	23
SPP1+ Mac_OA_BT_None	CD4+ Tex_RA_AT_Adalimumab	22
SPP1+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Adalimumab	19
SPP1+ Mac_OA_BT_None	S100A12+ Mac_RA_AT_Adalimumab	17
SPP1+ Mac_OA_BT_None	S100A12+ Mac_RA_AT_Tofacitinib	52
SPP1+ Mac_OA_BT_None	SPP1+ Mac_RA_AT_Tofacitinib	48
SPP1+ Mac_OA_BT_None	CD4+ Tex_RA_AT_Tofacitinib	20
SPP1+ Mac_OA_BT_None	Treg_RA_AT_Tofacitinib	15
SPP1+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Tofacitinib	13
S100A12+ Mac_OA_BT_None	SPP1+ Mac_OA_BT_None	5
S100A12+ Mac_OA_BT_None	S100A12+ Mac_OA_BT_None	0
S100A12+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_OA_BT_None	1
S100A12+ Mac_OA_BT_None	CD4+ Tex_OA_BT_None	1
S100A12+ Mac_OA_BT_None	Treg_OA_BT_None	1
S100A12+ Mac_OA_BT_None	SPP1+ Mac_RA_BT	27
S100A12+ Mac_OA_BT_None	S100A12+ Mac_RA_BT	18
S100A12+ Mac_OA_BT_None	Treg_RA_BT	7
S100A12+ Mac_OA_BT_None	CD4+ Tex_RA_BT	10
S100A12+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_RA_BT	12
S100A12+ Mac_OA_BT_None	SPP1+ Mac_RA_AT_Adalimumab	14
S100A12+ Mac_OA_BT_None	Treg_RA_AT_Adalimumab	12
S100A12+ Mac_OA_BT_None	CD4+ Tex_RA_AT_Adalimumab	8
S100A12+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Adalimumab	9
S100A12+ Mac_OA_BT_None	S100A12+ Mac_RA_AT_Adalimumab	3
S100A12+ Mac_OA_BT_None	S100A12+ Mac_RA_AT_Tofacitinib	18
S100A12+ Mac_OA_BT_None	SPP1+ Mac_RA_AT_Tofacitinib	23
S100A12+ Mac_OA_BT_None	CD4+ Tex_RA_AT_Tofacitinib	7
S100A12+ Mac_OA_BT_None	Treg_RA_AT_Tofacitinib	7
S100A12+ Mac_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Tofacitinib	3
GZMK+ CD8+ Tem1_OA_BT_None	SPP1+ Mac_OA_BT_None	5
GZMK+ CD8+ Tem1_OA_BT_None	S100A12+ Mac_OA_BT_None	1
GZMK+ CD8+ Tem1_OA_BT_None	GZMK+ CD8+ Tem1_OA_BT_None	4
GZMK+ CD8+ Tem1_OA_BT_None	CD4+ Tex_OA_BT_None	5
GZMK+ CD8+ Tem1_OA_BT_None	Treg_OA_BT_None	3
GZMK+ CD8+ Tem1_OA_BT_None	SPP1+ Mac_RA_BT	35
GZMK+ CD8+ Tem1_OA_BT_None	S100A12+ Mac_RA_BT	23
GZMK+ CD8+ Tem1_OA_BT_None	Treg_RA_BT	12
GZMK+ CD8+ Tem1_OA_BT_None	CD4+ Tex_RA_BT	15
GZMK+ CD8+ Tem1_OA_BT_None	GZMK+ CD8+ Tem1_RA_BT	11
GZMK+ CD8+ Tem1_OA_BT_None	SPP1+ Mac_RA_AT_Adalimumab	14
GZMK+ CD8+ Tem1_OA_BT_None	Treg_RA_AT_Adalimumab	18
GZMK+ CD8+ Tem1_OA_BT_None	CD4+ Tex_RA_AT_Adalimumab	16
GZMK+ CD8+ Tem1_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Adalimumab	15
GZMK+ CD8+ Tem1_OA_BT_None	S100A12+ Mac_RA_AT_Adalimumab	5
GZMK+ CD8+ Tem1_OA_BT_None	S100A12+ Mac_RA_AT_Tofacitinib	24
GZMK+ CD8+ Tem1_OA_BT_None	SPP1+ Mac_RA_AT_Tofacitinib	26
GZMK+ CD8+ Tem1_OA_BT_None	CD4+ Tex_RA_AT_Tofacitinib	12
GZMK+ CD8+ Tem1_OA_BT_None	Treg_RA_AT_Tofacitinib	12
GZMK+ CD8+ Tem1_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Tofacitinib	11
CD4+ Tex_OA_BT_None	SPP1+ Mac_OA_BT_None	4
CD4+ Tex_OA_BT_None	S100A12+ Mac_OA_BT_None	1
CD4+ Tex_OA_BT_None	GZMK+ CD8+ Tem1_OA_BT_None	5
CD4+ Tex_OA_BT_None	CD4+ Tex_OA_BT_None	2
CD4+ Tex_OA_BT_None	Treg_OA_BT_None	4
CD4+ Tex_OA_BT_None	SPP1+ Mac_RA_BT	33
CD4+ Tex_OA_BT_None	S100A12+ Mac_RA_BT	23
CD4+ Tex_OA_BT_None	Treg_RA_BT	9
CD4+ Tex_OA_BT_None	CD4+ Tex_RA_BT	12
CD4+ Tex_OA_BT_None	GZMK+ CD8+ Tem1_RA_BT	7
CD4+ Tex_OA_BT_None	SPP1+ Mac_RA_AT_Adalimumab	17
CD4+ Tex_OA_BT_None	Treg_RA_AT_Adalimumab	13
CD4+ Tex_OA_BT_None	CD4+ Tex_RA_AT_Adalimumab	12
CD4+ Tex_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Adalimumab	6
CD4+ Tex_OA_BT_None	S100A12+ Mac_RA_AT_Adalimumab	8
CD4+ Tex_OA_BT_None	S100A12+ Mac_RA_AT_Tofacitinib	26
CD4+ Tex_OA_BT_None	SPP1+ Mac_RA_AT_Tofacitinib	28
CD4+ Tex_OA_BT_None	CD4+ Tex_RA_AT_Tofacitinib	11
CD4+ Tex_OA_BT_None	Treg_RA_AT_Tofacitinib	10
CD4+ Tex_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Tofacitinib	6
Treg_OA_BT_None	SPP1+ Mac_OA_BT_None	6
Treg_OA_BT_None	S100A12+ Mac_OA_BT_None	1
Treg_OA_BT_None	GZMK+ CD8+ Tem1_OA_BT_None	3
Treg_OA_BT_None	CD4+ Tex_OA_BT_None	4
Treg_OA_BT_None	Treg_OA_BT_None	1
Treg_OA_BT_None	SPP1+ Mac_RA_BT	21
Treg_OA_BT_None	S100A12+ Mac_RA_BT	17
Treg_OA_BT_None	Treg_RA_BT	8
Treg_OA_BT_None	CD4+ Tex_RA_BT	10
Treg_OA_BT_None	GZMK+ CD8+ Tem1_RA_BT	8
Treg_OA_BT_None	SPP1+ Mac_RA_AT_Adalimumab	9
Treg_OA_BT_None	Treg_RA_AT_Adalimumab	9
Treg_OA_BT_None	CD4+ Tex_RA_AT_Adalimumab	10
Treg_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Adalimumab	8
Treg_OA_BT_None	S100A12+ Mac_RA_AT_Adalimumab	10
Treg_OA_BT_None	S100A12+ Mac_RA_AT_Tofacitinib	19
Treg_OA_BT_None	SPP1+ Mac_RA_AT_Tofacitinib	16
Treg_OA_BT_None	CD4+ Tex_RA_AT_Tofacitinib	8
Treg_OA_BT_None	Treg_RA_AT_Tofacitinib	8
Treg_OA_BT_None	GZMK+ CD8+ Tem1_RA_AT_Tofacitinib	8
SPP1+ Mac_RA_BT	SPP1+ Mac_OA_BT_None	63
SPP1+ Mac_RA_BT	S100A12+ Mac_OA_BT_None	27
SPP1+ Mac_RA_BT	GZMK+ CD8+ Tem1_OA_BT_None	35
SPP1+ Mac_RA_BT	CD4+ Tex_OA_BT_None	33
SPP1+ Mac_RA_BT	Treg_OA_BT_None	21
SPP1+ Mac_RA_BT	SPP1+ Mac_RA_BT	87
