p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
LTC4S	0	0.418651478512438	0.277	0.051	0	OA_BT	LTC4S
PRG4	0	0.379469650859859	0.178	0.011	0	OA_BT	PRG4
HLA-DRB1	0	0.361459845943619	0.952	0.944	0	OA_BT	HLA-DRB1
RPS4Y1	0	0.343401917934539	0.165	0	0	OA_BT	RPS4Y1
CST3	0	0.322538726340312	0.924	0.979	0	OA_BT	CST3
CD74	0	0.222366524102086	0.966	0.98	0	OA_BT	CD74
MALAT1	0	0.216339477601065	1	0.997	0	OA_BT	MALAT1
FCER1A	0	0.208986695018961	0.116	0.002	0	OA_BT	FCER1A
RPS6	0	0.198296235871532	0.862	0.943	0	OA_BT	RPS6
RPL18A	0	0.174868881282105	0.879	0.964	0	OA_BT	RPL18A
S100A4	0	0.170594648312207	0.985	0.994	0	OA_BT	S100A4
RPL10	0	0.166225123681031	0.95	0.986	0	OA_BT	RPL10
RPL12	0	0.145698743802659	0.911	0.973	0	OA_BT	RPL12
RPL13	0	0.125269603405416	0.923	0.991	0	OA_BT	RPL13
TMSB4X	0	0.12082644045984	0.989	0.998	0	OA_BT	TMSB4X
RPL11	3.65373270954585e-306	0.158231591832706	0.904	0.965	7.99838627446682e-302	OA_BT	RPL11
RPLP1	5.39362108017121e-305	0.114470728054141	0.961	0.993	1.18071759066028e-300	OA_BT	RPLP1
RPS18	7.65999240021142e-300	0.165680381146415	0.909	0.965	1.67684893633028e-295	OA_BT	RPS18
ENHO	2.9762752493389e-291	0.521519840844134	0.295	0.077	6.51536414832778e-287	OA_BT	ENHO
RPL19	1.2320817597927e-282	0.134242491695609	0.87	0.962	2.69715018036219e-278	OA_BT	RPL19
PFN1	5.9752861805756e-280	0.0997249245021588	0.895	0.977	1.3080498977898e-275	OA_BT	PFN1
PLD4	6.51539614883857e-272	0.225723696420873	0.139	0.013	1.42628537094225e-267	OA_BT	PLD4
CD1C	1.00383568713302e-266	0.202252133991984	0.121	0.009	2.1974967027029e-262	OA_BT	CD1C
RPS3A	3.6756747173998e-262	0.142803240210034	0.87	0.961	8.0464195238599e-258	OA_BT	RPS3A
RPL32	3.93409981564029e-259	0.129703532686256	0.923	0.977	8.61213790641815e-255	OA_BT	RPL32
RPS19	1.09671163873371e-258	0.114851339431124	0.895	0.974	2.40081144835197e-254	OA_BT	RPS19
RPS3	4.77463173441606e-257	0.182408161929664	0.821	0.928	1.04521463298102e-252	OA_BT	RPS3
DDX3Y	8.55217650856114e-256	0.134515843243085	0.074	0	1.87215695948912e-251	OA_BT	DDX3Y
GPR34	1.83537550562421e-253	0.278133920512486	0.181	0.03	4.01782051936196e-249	OA_BT	GPR34
SERPINF1	1.84521497019453e-253	0.390547325778153	0.287	0.081	4.03936009125285e-249	OA_BT	SERPINF1
EEF1A1	1.64680927586403e-252	0.100356754051899	0.975	0.996	3.60503018579395e-248	OA_BT	EEF1A1
RPS8	1.48947520216998e-246	0.143073864238548	0.901	0.966	3.26061016507031e-242	OA_BT	RPS8
RPL7A	1.09079766789148e-227	0.150531316922962	0.818	0.932	2.38786517478123e-223	OA_BT	RPL7A
RPS24	1.96857346273719e-226	0.121911773192841	0.938	0.985	4.30940416727798e-222	OA_BT	RPS24
RPS2	2.92451901273076e-226	0.0986213089177619	0.836	0.968	6.4020645707689e-222	OA_BT	RPS2
C3	7.97880017389998e-216	0.408268564663122	0.247	0.07	1.74663914606844e-211	OA_BT	C3
SELENOP	1.64223414193987e-211	0.362171250893615	0.188	0.039	3.59501476012058e-207	OA_BT	SELENOP
RPS14	2.08593360559971e-208	0.0880854562832738	0.85	0.973	4.56631725601833e-204	OA_BT	RPS14
RPL18	1.87832049309138e-206	0.113811359644566	0.834	0.958	4.11183139142633e-202	OA_BT	RPL18
