p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CXCL8	0	0.530917423413334	0.463	0.173	0	RA_BT	CXCL8
SPP1	0	0.520418739441366	0.929	0.748	0	RA_BT	SPP1
CXCL3	0	0.504363747332849	0.405	0.133	0	RA_BT	CXCL3
CXCL2	0	0.482387336235672	0.434	0.159	0	RA_BT	CXCL2
SLC2A3	0	0.429689636065542	0.842	0.655	0	RA_BT	SLC2A3
PLIN2	0	0.39083502862257	0.68	0.475	0	RA_BT	PLIN2
SLC39A8	0	0.353681569932187	0.552	0.303	0	RA_BT	SLC39A8
HK2	0	0.349092662771046	0.447	0.225	0	RA_BT	HK2
ERO1A	0	0.340905216744741	0.74	0.531	0	RA_BT	ERO1A
CCL7	0	0.338995982161212	0.271	0.081	0	RA_BT	CCL7
CTSL	0	0.311477304057183	0.949	0.84	0	RA_BT	CTSL
JUN	0	0.301989590280593	0.718	0.508	0	RA_BT	JUN
SOD2	0	0.297390438249371	0.865	0.707	0	RA_BT	SOD2
SLAMF9	0	0.293169745512927	0.321	0.115	0	RA_BT	SLAMF9
FCGR3A	0	0.267409119348076	0.861	0.742	0	RA_BT	FCGR3A
GLUL	0	0.22524063961776	0.946	0.863	0	RA_BT	GLUL
CTSB	0	0.19199156878324	0.992	0.942	0	RA_BT	CTSB
STAT1	2.69880101146364e-304	0.312421959980685	0.666	0.486	5.90794529419505e-300	RA_BT	STAT1
HLA-B	3.34325968473896e-301	0.120201522224878	0.995	0.952	7.31872977586206e-297	RA_BT	HLA-B
HLA-A	1.59328935271166e-294	0.154983827788524	0.988	0.919	3.4878697220211e-290	RA_BT	HLA-A
CCL2	1.74715246492703e-286	0.404776155171551	0.73	0.522	3.82469146097176e-282	RA_BT	CCL2
AC245128.3	9.0485238321125e-281	0.252250248753088	0.38	0.171	1.98081235208775e-276	RA_BT	AC245128.3
C15orf48	4.20001995872538e-276	0.303439729223937	0.868	0.673	9.19426369164573e-272	RA_BT	C15orf48
FTH1	3.64834903308914e-272	0.0668286068833157	1	0.997	7.98660086833543e-268	RA_BT	FTH1
GBP1	4.32041866374555e-272	0.329180009906213	0.551	0.36	9.45782849680537e-268	RA_BT	GBP1
