p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CXCL8	0	0.554449955281428	0.4	0.117	0	RA_BT	CXCL8
CTSL	0	0.342698951533813	0.946	0.843	0	RA_BT	CTSL
MT-ND4L	5.37164518674086e-307	0.336581652817648	0.851	0.659	1.17590684782944e-302	RA_BT	MT-ND4L
SLC2A3	6.96872737062629e-281	0.410036670558405	0.8	0.616	1.5255241087038e-276	RA_BT	SLC2A3
SPP1	2.97328879767467e-277	0.400471079572135	0.935	0.827	6.50882650698962e-273	RA_BT	SPP1
C15orf48	1.18700988300653e-236	0.375942384622306	0.828	0.629	2.59848333488959e-232	RA_BT	C15orf48
ERO1A	1.06257359032879e-212	0.332463527597927	0.701	0.521	2.32607984658875e-208	RA_BT	ERO1A
LDHA	5.5523742791144e-205	0.235370362367506	0.929	0.822	1.21547025344093e-200	RA_BT	LDHA
VEGFA	4.7459056042188e-194	0.340536201517811	0.536	0.308	1.03892619581954e-189	RA_BT	VEGFA
P4HA1	3.76451166947524e-191	0.324199016720894	0.568	0.354	8.24089249564824e-187	RA_BT	P4HA1
CXCL2	1.32673242966605e-179	0.394198218366756	0.358	0.155	2.90434996178195e-175	RA_BT	CXCL2
GAPDH	1.98392191734975e-178	0.198903006107419	0.98	0.869	4.34300346927035e-174	RA_BT	GAPDH
MT-ND5	8.58111301564988e-173	0.167905544146338	0.975	0.913	1.87849145025591e-168	RA_BT	MT-ND5
JUN	2.2774507009353e-169	0.315982392382206	0.689	0.515	4.98556732941747e-165	RA_BT	JUN
DUSP6	2.43788913079411e-169	0.265248909192692	0.833	0.694	5.33678309622139e-165	RA_BT	DUSP6
AC245128.3	3.31321045448194e-166	0.264776663958258	0.325	0.13	7.25294900590643e-162	RA_BT	AC245128.3
CTSB	3.46190206637289e-160	0.169648024158314	0.988	0.917	7.57844981349689e-156	RA_BT	CTSB
CCL7	2.05714782746465e-155	0.312761030788603	0.242	0.077	4.50330230910287e-151	RA_BT	CCL7
SOD2	1.09970269240321e-154	0.280990416614976	0.8	0.66	2.40735916393986e-150	RA_BT	SOD2
TIMP1	6.1510215684281e-154	0.27088744603314	0.962	0.85	1.34652013154459e-149	RA_BT	TIMP1
CXCL3	7.48146519164694e-154	0.34579677921879	0.312	0.13	1.63776754510343e-149	RA_BT	CXCL3
SLC39A8	1.56735279534592e-153	0.305330792718313	0.45	0.249	3.43109200429175e-149	RA_BT	SLC39A8
FNDC3B	2.32804590620343e-152	0.24433555819235	0.748	0.599	5.09632529326993e-148	RA_BT	FNDC3B
CCL2	6.8586143279519e-151	0.396291858483367	0.716	0.533	1.50141926253195e-146	RA_BT	CCL2
CTSD	1.43158565984121e-141	0.206926285095878	0.959	0.862	3.1338841679584e-137	RA_BT	CTSD
PLIN2	3.78985386730727e-138	0.298463693590096	0.645	0.498	8.29636910092234e-134	RA_BT	PLIN2
ENO1	1.01507178786748e-137	0.170118590087781	0.951	0.857	2.2220936508207e-133	RA_BT	ENO1
AQP9	1.37525149328186e-134	0.265703626919656	0.575	0.377	3.01056304394331e-130	RA_BT	AQP9
MIF	1.58985677193771e-132	0.232631095201481	0.804	0.686	3.48035545944884e-128	RA_BT	MIF
GLUL	9.65259290441345e-131	0.202131219405345	0.927	0.842	2.11304911270515e-126	RA_BT	GLUL
DSE	4.8106164100323e-130	0.22036740811412	0.766	0.629	1.05309203832017e-125	RA_BT	DSE
MT-CO3	1.01769820013605e-128	0.0474610883122271	0.999	0.994	2.22784312991782e-124	RA_BT	MT-CO3
CD44	1.21233360045792e-128	0.111324079010247	0.981	0.949	2.65391948476243e-124	RA_BT	CD44
ANPEP	1.28937036844699e-128	0.244020610252681	0.779	0.667	2.82256067356731e-124	RA_BT	ANPEP
HMOX1	8.85092336207382e-127	0.291889054288862	0.791	0.697	1.93755563319158e-122	RA_BT	HMOX1
VCAN	1.71914768723695e-125	0.230856653664951	0.901	0.805	3.76338620213041e-121	RA_BT	VCAN
HK2	6.54867959520612e-124	0.270318403816507	0.367	0.202	1.43357145018657e-119	RA_BT	HK2
CD300E	1.50379080472811e-120	0.259932525970052	0.674	0.489	3.29194845063031e-116	RA_BT	CD300E
IER3	1.08715958849536e-116	0.276627755768265	0.707	0.566	2.37990105517519e-112	RA_BT	IER3
TPI1	2.64042522950169e-116	0.179438116735382	0.909	0.816	5.78015486990215e-112	RA_BT	TPI1
