p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SPP1	0	0.741509223566279	0.922	0.617	0	RA_BT	SPP1
CXCL3	0	0.648497447122229	0.499	0.139	0	RA_BT	CXCL3
CTSB	0	0.225022376091761	0.996	0.982	0	RA_BT	CTSB
CXCL2	1.62287558931194e-281	0.56326492048728	0.51	0.166	3.55263695256276e-277	RA_BT	CXCL2
SDC2	4.82279032890102e-275	0.55734172439003	0.569	0.243	1.05575703089972e-270	RA_BT	SDC2
SLAMF9	4.76661168242063e-269	0.437895140308254	0.408	0.095	1.0434589633987e-264	RA_BT	SLAMF9
PLIN2	2.99863712368797e-253	0.510402409770421	0.715	0.436	6.56431652746533e-249	RA_BT	PLIN2
FCGR3A	1.14366493032214e-250	0.358979589171251	0.887	0.738	2.5035968989682e-246	RA_BT	FCGR3A
STAT1	2.14115533231964e-242	0.404316952497152	0.772	0.518	4.68720313798092e-238	RA_BT	STAT1
PIM1	2.89215651888064e-234	0.418550416173	0.579	0.262	6.3312198354816e-230	RA_BT	PIM1
FBP1	1.18308571488221e-229	0.377049446352041	0.889	0.725	2.58989293844866e-225	RA_BT	FBP1
HLA-A	5.50149450655931e-227	0.133302888784543	0.998	0.986	1.2043321624309e-222	RA_BT	HLA-A
GBP1	7.4221539921454e-223	0.432198759091231	0.663	0.375	1.62478373042055e-218	RA_BT	GBP1
CYP1B1	6.32840502075393e-220	0.537916580260843	0.425	0.141	1.38535114309324e-215	RA_BT	CYP1B1
HLA-B	1.18380999135102e-218	0.109295581517362	0.999	0.993	2.59147845206652e-214	RA_BT	HLA-B
SLC2A3	1.4947945927972e-214	0.409860970505062	0.885	0.719	3.27225484309234e-210	RA_BT	SLC2A3
ERO1A	3.55713691570174e-209	0.351394611407366	0.779	0.549	7.78692842216268e-205	RA_BT	ERO1A
CSTB	1.26529240267692e-205	0.24574557767852	0.989	0.956	2.76985159870006e-201	RA_BT	CSTB
FTH1	5.29067676559979e-200	0.0796475914111188	1	1	1.15818205075745e-195	RA_BT	FTH1
MT2A	2.06513201921182e-192	0.508889896513292	0.677	0.412	4.5207805032566e-188	RA_BT	MT2A
HK2	3.47854377301989e-186	0.405687110542595	0.528	0.262	7.61488017351784e-182	RA_BT	HK2
EGLN3	9.59768788096946e-186	0.299067343297677	0.263	0.041	2.10102985402303e-181	RA_BT	EGLN3
GLUL	2.02376763875654e-185	0.242744971195966	0.965	0.897	4.43022973800194e-181	RA_BT	GLUL
CTSL	1.48707886858677e-182	0.30213363732832	0.952	0.834	3.25536435122331e-178	RA_BT	CTSL
GPNMB	4.46903415095786e-182	0.37929129765278	0.778	0.529	9.78316265986185e-178	RA_BT	GPNMB
RPS20	9.58334319574696e-162	0.14214227897446	0.977	0.946	2.09788965898097e-157	RA_BT	RPS20
SLC39A8	1.10603318515877e-160	0.349892742046627	0.657	0.394	2.42121724563107e-156	RA_BT	SLC39A8
FN1	3.28666101023455e-160	0.355135220738731	0.937	0.759	7.19482961750445e-156	RA_BT	FN1
CXCL8	1.21119762751332e-158	0.453624528546793	0.528	0.264	2.65143272638941e-154	RA_BT	CXCL8
IL18BP	1.44057488153939e-158	0.254763308345041	0.312	0.088	3.15356247317788e-154	RA_BT	IL18BP
FTL	1.61594569867054e-156	0.0880911781801044	1	1	3.53746672895967e-152	RA_BT	FTL
FCGR2B	1.61120509689402e-152	0.373171331114878	0.514	0.262	3.5270890776107e-148	RA_BT	FCGR2B
JUN	4.99319792579543e-150	0.299550280914122	0.748	0.497	1.09306095793588e-145	RA_BT	JUN
CCL7	1.629460410979e-147	0.358474773472332	0.301	0.086	3.56705178567413e-143	RA_BT	CCL7
WARS	7.31061294921186e-143	0.314934880114683	0.711	0.492	1.60036628071197e-138	RA_BT	WARS
CCL2	1.34688162401672e-141	0.432600505279687	0.745	0.503	2.94845856313501e-137	RA_BT	CCL2
RAB20	3.22359536367735e-139	0.23782908481435	0.369	0.142	7.0567726106261e-135	RA_BT	RAB20
GBP5	1.33055742086629e-138	0.322613525872507	0.349	0.132	2.9127232500184e-134	RA_BT	GBP5
RNASE1	1.99560843038654e-138	0.404763916969638	0.674	0.419	4.36858641495918e-134	RA_BT	RNASE1
CD163	4.51402246493225e-138	0.325289057514113	0.77	0.579	9.88164657798318e-134	RA_BT	CD163
PGK1	7.26813206488864e-138	0.185234293808683	0.964	0.9	1.59106679032477e-133	RA_BT	PGK1
GPI	8.56419631628863e-137	0.278473837234583	0.689	0.454	1.87478821559874e-132	RA_BT	GPI
IRF1	5.32302835431653e-134	0.322095473401809	0.682	0.464	1.16526413704343e-129	RA_BT	IRF1
ZFP36L1	3.03281593152366e-132	0.263953230392727	0.903	0.79	6.63913735569844e-128	RA_BT	ZFP36L1
TPI1	4.37249078020934e-128	0.168548566952259	0.972	0.911	9.57181956695626e-124	RA_BT	TPI1
MARCO	7.4332207245222e-127	0.278503156766026	0.877	0.725	1.62720634880515e-122	RA_BT	MARCO
EGR1	4.91943300011518e-126	0.274516025525121	0.386	0.16	1.07691307805521e-121	RA_BT	EGR1
FAM20A	2.66273600584177e-124	0.214694758073156	0.34	0.129	5.82899539038821e-120	RA_BT	FAM20A
BHLHE41	1.82294412161514e-123	0.235264666155521	0.219	0.049	3.99060697662769e-119	RA_BT	BHLHE41
VSIG4	9.94299417428643e-122	0.304939858931851	0.572	0.333	2.17662085469304e-117	RA_BT	VSIG4
PSAP	1.69348416292813e-121	0.096772446694769	0.997	0.984	3.70720618106598e-117	RA_BT	PSAP
ZNF395	2.94662769292107e-121	0.235013513231985	0.286	0.097	6.4504626825735e-117	RA_BT	ZNF395
RAB13	8.07368643743701e-117	0.250491453841783	0.631	0.4	1.76741069801934e-112	RA_BT	RAB13
PKM	1.21183191092175e-116	0.156225850037059	0.964	0.899	2.65282123619881e-112	RA_BT	PKM
IFIT3	3.64602127987021e-114	0.248120808873989	0.319	0.125	7.98150518376388e-110	RA_BT	IFIT3
CXCL5	3.92865025759015e-114	0.272087969656888	0.16	0.019	8.60020827889059e-110	RA_BT	CXCL5
TNS3	4.01908804817437e-114	0.255326135340399	0.525	0.298	8.79818564625851e-110	RA_BT	TNS3
VAMP5	5.69585120879723e-113	0.272477128312053	0.726	0.548	1.2468787881178e-108	RA_BT	VAMP5
PLEKHO1	6.65500030516115e-113	0.249420142302471	0.707	0.483	1.45684611680283e-108	RA_BT	PLEKHO1
CTSD	2.78258771666183e-112	0.195157020561774	0.961	0.892	6.09136277054442e-108	RA_BT	CTSD
MYOF	1.68698399152249e-111	0.243116354595608	0.651	0.428	3.69297665584188e-107	RA_BT	MYOF
APOL6	2.72598014308698e-111	0.256799637030255	0.677	0.469	5.9674431312317e-107	RA_BT	APOL6
TGM2	2.57435767891056e-110	0.219272774455275	0.411	0.193	5.6355263949031e-106	RA_BT	TGM2
ICAM1	1.1880165857767e-108	0.257649793700457	0.579	0.357	2.60068710792376e-104	RA_BT	ICAM1
SLC28A3	2.86565807896163e-108	0.180069879856159	0.2	0.046	6.2732121006549e-104	RA_BT	SLC28A3
ENO2	3.07148324074237e-108	0.172259242101485	0.224	0.06	6.72378396230912e-104	RA_BT	ENO2
MT1X	6.31455545986548e-108	0.333024990663376	0.41	0.208	1.38231933571915e-103	RA_BT	MT1X
MYD88	1.64981312556499e-107	0.236737590590719	0.688	0.471	3.61160591317431e-103	RA_BT	MYD88
DMXL2	7.07499299880117e-107	0.236471122693472	0.776	0.572	1.54878671736757e-102	RA_BT	DMXL2
GIMAP4	1.96941870925682e-105	0.250123095334191	0.427	0.224	4.31125449643411e-101	RA_BT	GIMAP4
CNDP2	2.35939951780666e-105	0.232144909227227	0.676	0.466	5.16496148443056e-101	RA_BT	CNDP2
CXCL16	4.18289911159617e-105	0.212414736772293	0.869	0.73	9.15678444519517e-101	RA_BT	CXCL16
TAP1	4.74427311785879e-105	0.233996687720127	0.572	0.352	1.03856882823047e-100	RA_BT	TAP1
PARP9	9.10296190874869e-105	0.229653738200704	0.546	0.326	1.99272939144418e-100	RA_BT	PARP9
ARID5B	1.03890234135001e-103	0.228943522859562	0.414	0.204	2.27426111544931e-99	RA_BT	ARID5B
GNS	2.04027848600727e-103	0.221064743470184	0.773	0.57	4.46637363371852e-99	RA_BT	GNS
NR1H3	2.31749101464448e-103	0.249564954453893	0.385	0.185	5.07321958015823e-99	RA_BT	NR1H3
SLAMF8	2.03513079620848e-101	0.201937101745769	0.339	0.148	4.45510482597998e-97	RA_BT	SLAMF8
LIPA	1.70819898009801e-100	0.272507523244835	0.664	0.474	3.73941838733256e-96	RA_BT	LIPA
FCGR2A	2.6533784125208e-100	0.228328404332765	0.804	0.672	5.80851068284928e-96	RA_BT	FCGR2A
VMP1	1.34095528666588e-99	0.197539133082875	0.945	0.837	2.93548521804029e-95	RA_BT	VMP1
HSD3B7	5.38413382333996e-99	0.200931109887967	0.381	0.18	1.17864073526735e-94	RA_BT	HSD3B7
NPL	3.71835623008366e-96	0.22493174914978	0.618	0.41	8.13985362327614e-92	RA_BT	NPL
MTHFD2	1.72353509142921e-95	0.21605082670491	0.644	0.437	3.77299066864767e-91	RA_BT	MTHFD2
BNIP3	3.05334979779906e-95	0.23973426322482	0.354	0.168	6.68408804236192e-91	RA_BT	BNIP3
LAMP1	3.29372947173047e-95	0.210812291649161	0.829	0.675	7.21030318656516e-91	RA_BT	LAMP1
IER3	3.60773995226737e-95	0.265065225753878	0.783	0.576	7.89770352950849e-91	RA_BT	IER3
NINJ1	5.37562870008885e-95	0.241245430793136	0.759	0.567	1.17677887873645e-90	RA_BT	NINJ1
SOD2	1.57694720438851e-94	0.233541688557863	0.931	0.786	3.45209512512688e-90	RA_BT	SOD2
DRAM1	2.78034487424268e-94	0.236119751530799	0.608	0.405	6.08645296420464e-90	RA_BT	DRAM1
GM2A	2.83071666951274e-93	0.208567101235655	0.457	0.255	6.19672186123035e-89	RA_BT	GM2A
PGAM1	1.85800742328644e-92	0.182017591810599	0.891	0.776	4.06736405031635e-88	RA_BT	PGAM1
DTX3L	2.05570030411132e-92	0.20878385425949	0.543	0.332	4.50013353573009e-88	RA_BT	DTX3L
ETS2	1.91450641857711e-90	0.242286573771416	0.547	0.35	4.19104600090716e-86	RA_BT	ETS2
AC245128.3	2.1309297471534e-90	0.214311518191138	0.437	0.238	4.66481830949351e-86	RA_BT	AC245128.3
ENO1	2.58266885218145e-90	0.125262429992952	0.983	0.937	5.65372038431041e-86	RA_BT	ENO1
MAF	1.87806083401571e-89	0.221121749355066	0.46	0.25	4.11126297174379e-85	RA_BT	MAF
MT1E	4.86428176345095e-89	0.172557159596029	0.164	0.035	1.06483992083705e-84	RA_BT	MT1E
SEMA6B	1.06580625592503e-88	0.202120431976884	0.307	0.139	2.33315647484548e-84	RA_BT	SEMA6B
TTYH3	2.66193053313709e-87	0.207739233984127	0.738	0.552	5.82723213009039e-83	RA_BT	TTYH3
EPB41L3	5.13703508524402e-87	0.219775855377982	0.551	0.361	1.12454835051077e-82	RA_BT	EPB41L3
MARCH1	3.39812025864892e-86	0.228445478337102	0.663	0.462	7.43882505820835e-82	RA_BT	MARCH1
HLA-C	1.1793258099969e-85	0.077343888239108	0.995	0.983	2.58166213066421e-81	RA_BT	HLA-C
GRB2	2.54784982807612e-85	0.158779456495655	0.929	0.838	5.57749805864144e-81	RA_BT	GRB2
SLC2A5	4.24430030807933e-85	0.133130590610899	0.175	0.044	9.29119780441645e-81	RA_BT	SLC2A5
