id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	CD4+ Tex-N|CD4+ Tex-N	CD4+ Tex-N|CD4+ Tex-Y	CD4+ Tex-N|GZMK+ CD8+ Tem1-N	CD4+ Tex-N|GZMK+ CD8+ Tem1-Y	CD4+ Tex-N|S100A12+ Mac-N	CD4+ Tex-N|S100A12+ Mac-Y	CD4+ Tex-N|Treg-N	CD4+ Tex-N|Treg-Y	CD4+ Tex-Y|CD4+ Tex-N	CD4+ Tex-Y|CD4+ Tex-Y	CD4+ Tex-Y|GZMK+ CD8+ Tem1-N	CD4+ Tex-Y|GZMK+ CD8+ Tem1-Y	CD4+ Tex-Y|S100A12+ Mac-N	CD4+ Tex-Y|S100A12+ Mac-Y	CD4+ Tex-Y|Treg-N	CD4+ Tex-Y|Treg-Y	GZMK+ CD8+ Tem1-N|CD4+ Tex-N	GZMK+ CD8+ Tem1-N|CD4+ Tex-Y	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-N|S100A12+ Mac-N	GZMK+ CD8+ Tem1-N|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-N|Treg-N	GZMK+ CD8+ Tem1-N|Treg-Y	GZMK+ CD8+ Tem1-Y|CD4+ Tex-N	GZMK+ CD8+ Tem1-Y|CD4+ Tex-Y	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-N	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-Y|Treg-N	GZMK+ CD8+ Tem1-Y|Treg-Y	S100A12+ Mac-N|CD4+ Tex-N	S100A12+ Mac-N|CD4+ Tex-Y	S100A12+ Mac-N|GZMK+ CD8+ Tem1-N	S100A12+ Mac-N|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-N|S100A12+ Mac-N	S100A12+ Mac-N|S100A12+ Mac-Y	S100A12+ Mac-N|Treg-N	S100A12+ Mac-N|Treg-Y	S100A12+ Mac-Y|CD4+ Tex-N	S100A12+ Mac-Y|CD4+ Tex-Y	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-N	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-Y|S100A12+ Mac-N	S100A12+ Mac-Y|S100A12+ Mac-Y	S100A12+ Mac-Y|Treg-N	S100A12+ Mac-Y|Treg-Y	Treg-N|CD4+ Tex-N	Treg-N|CD4+ Tex-Y	Treg-N|GZMK+ CD8+ Tem1-N	Treg-N|GZMK+ CD8+ Tem1-Y	Treg-N|S100A12+ Mac-N	Treg-N|S100A12+ Mac-Y	Treg-N|Treg-N	Treg-N|Treg-Y	Treg-Y|CD4+ Tex-N	Treg-Y|CD4+ Tex-Y	Treg-Y|GZMK+ CD8+ Tem1-N	Treg-Y|GZMK+ CD8+ Tem1-Y	Treg-Y|S100A12+ Mac-N	Treg-Y|S100A12+ Mac-Y	Treg-Y|Treg-N	Treg-Y|Treg-Y
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	0.546	0.543	0.563	0.558	0.534	0.535	0.0	0.538	1.118	1.115	1.135	1.129	1.105	1.107	0.0	1.11	1.505	1.502	1.522	1.517	1.492	1.494	0.0	1.497	2.467	2.464	2.484	2.478	2.454	2.456	0.0	2.459	3.308	3.305	3.325	3.319	3.295	3.297	0.0	3.3	3.334	3.33	3.351	3.345	3.321	3.322	0.0	3.326	0.945	0.942	0.962	0.957	0.933	0.934	0.0	0.937	1.008	1.005	1.025	1.019	0.995	0.997	0.0	1.0
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.016	0.013	0.033	0.028	0.003	0.005	0.0	0.008	0.017	0.013	0.034	0.028	0.004	0.005	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.014	0.034	0.028	0.004	0.006	0.0	0.009	0.039	0.035	0.055	0.05	0.026	0.027	0.0	0.031	0.048	0.044	0.064	0.059	0.035	0.036	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.35	0.493	0.296	0.303	0.0	0.004	0.162	0.166	0.35	0.494	0.296	0.303	0.0	0.005	0.162	0.166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.351	0.494	0.296	0.304	0.0	0.005	0.163	0.167	0.372	0.515	0.318	0.325	0.0	0.027	0.184	0.188	0.381	0.524	0.327	0.334	0.0	0.036	0.193	0.197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0.347	0.367	0.052	0.024	0.06	0.069	0.133	0.168	0.347	0.368	0.053	0.024	0.061	0.07	0.134	0.169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348	0.368	0.053	0.025	0.061	0.07	0.134	0.169	0.369	0.39	0.075	0.046	0.082	0.092	0.156	0.191	0.378	0.398	0.084	0.055	0.091	0.1	0.165	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	1.623	1.148	0.823	0.796	0.006	0.007	3.741	2.174	1.623	1.149	0.824	0.797	0.006	0.007	3.742	2.174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.624	1.149	0.824	0.797	0.006	0.008	3.742	2.175	1.645	1.171	0.846	0.819	0.028	0.029	3.764	2.196	1.654	1.18	0.854	0.828	0.037	0.038	3.773	2.205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	PVR	NECTIN3	True	True	False	curated	False	0.025	0.03	0.019	0.018	0.003	0.003	0.0	0.014	0.025	0.03	0.02	0.018	0.004	0.004	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.031	0.02	0.018	0.004	0.004	0.0	0.014	0.047	0.052	0.042	0.04	0.026	0.026	0.0	0.036	0.056	0.061	0.051	0.049	0.035	0.034	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	0.044	0.049	0.038	0.037	0.023	0.022	0.0	0.033	0.037	0.043	0.032	0.03	0.016	0.016	0.0	0.026	0.058	0.063	0.052	0.051	0.037	0.036	0.0	0.047	0.06	0.066	0.055	0.053	0.039	0.039	0.0	0.049	0.024	0.029	0.019	0.017	0.003	0.003	0.0	0.013	0.023	0.028	0.017	0.016	0.001	0.001	0.0	0.012	0.09	0.095	0.085	0.083	0.069	0.069	0.0	0.079	0.049	0.054	0.044	0.042	0.028	0.028	0.0	0.038
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.03	0.02	0.018	0.004	0.004	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.028	0.018	0.016	0.002	0.002	0.0	0.012	0.03	0.036	0.025	0.023	0.009	0.009	0.0	0.019	0.035	0.04	0.029	0.028	0.014	0.013	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.03	0.019	0.018	0.003	0.003	0.0	0.014
CPI-SS03859E16F	TIGIT_NECTIN3	simple:Q495A1	simple:Q9NQS3	TIGIT	NECTIN3	False	False	False	curated	False	1.642	1.647	1.637	1.635	1.621	1.621	0.0	1.631	1.168	1.173	1.162	1.16	1.146	1.146	0.0	1.157	0.842	0.848	0.837	0.835	0.821	0.821	0.0	0.831	0.816	0.821	0.81	0.809	0.794	0.794	0.0	0.805	0.025	0.03	0.019	0.018	0.004	0.003	0.0	0.014	0.026	0.031	0.021	0.019	0.005	0.005	0.0	0.015	3.76	3.766	3.755	3.753	3.739	3.739	0.0	3.75	2.193	2.198	2.188	2.186	2.172	2.172	0.0	2.182
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	0.027	0.033	0.022	0.02	0.006	0.006	0.0	0.016	0.031	0.036	0.026	0.024	0.01	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.032	0.021	0.02	0.005	0.005	0.0	0.016	0.253	0.259	0.248	0.246	0.232	0.232	0.0	0.242	0.309	0.314	0.303	0.302	0.288	0.287	0.0	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.035	0.025	0.023	0.009	0.009	0.0	0.019
