id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	CD4+ Tex-N|CD4+ Tex-N	CD4+ Tex-N|CD4+ Tex-Y	CD4+ Tex-N|GZMK+ CD8+ Tem1-N	CD4+ Tex-N|GZMK+ CD8+ Tem1-Y	CD4+ Tex-N|SPP1+ Mac-N	CD4+ Tex-N|SPP1+ Mac-Y	CD4+ Tex-N|Treg-N	CD4+ Tex-N|Treg-Y	CD4+ Tex-Y|CD4+ Tex-N	CD4+ Tex-Y|CD4+ Tex-Y	CD4+ Tex-Y|GZMK+ CD8+ Tem1-N	CD4+ Tex-Y|GZMK+ CD8+ Tem1-Y	CD4+ Tex-Y|SPP1+ Mac-N	CD4+ Tex-Y|SPP1+ Mac-Y	CD4+ Tex-Y|Treg-N	CD4+ Tex-Y|Treg-Y	GZMK+ CD8+ Tem1-N|CD4+ Tex-N	GZMK+ CD8+ Tem1-N|CD4+ Tex-Y	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-N|SPP1+ Mac-N	GZMK+ CD8+ Tem1-N|SPP1+ Mac-Y	GZMK+ CD8+ Tem1-N|Treg-N	GZMK+ CD8+ Tem1-N|Treg-Y	GZMK+ CD8+ Tem1-Y|CD4+ Tex-N	GZMK+ CD8+ Tem1-Y|CD4+ Tex-Y	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-Y|SPP1+ Mac-N	GZMK+ CD8+ Tem1-Y|SPP1+ Mac-Y	GZMK+ CD8+ Tem1-Y|Treg-N	GZMK+ CD8+ Tem1-Y|Treg-Y	SPP1+ Mac-N|CD4+ Tex-N	SPP1+ Mac-N|CD4+ Tex-Y	SPP1+ Mac-N|GZMK+ CD8+ Tem1-N	SPP1+ Mac-N|GZMK+ CD8+ Tem1-Y	SPP1+ Mac-N|SPP1+ Mac-N	SPP1+ Mac-N|SPP1+ Mac-Y	SPP1+ Mac-N|Treg-N	SPP1+ Mac-N|Treg-Y	SPP1+ Mac-Y|CD4+ Tex-N	SPP1+ Mac-Y|CD4+ Tex-Y	SPP1+ Mac-Y|GZMK+ CD8+ Tem1-N	SPP1+ Mac-Y|GZMK+ CD8+ Tem1-Y	SPP1+ Mac-Y|SPP1+ Mac-N	SPP1+ Mac-Y|SPP1+ Mac-Y	SPP1+ Mac-Y|Treg-N	SPP1+ Mac-Y|Treg-Y	Treg-N|CD4+ Tex-N	Treg-N|CD4+ Tex-Y	Treg-N|GZMK+ CD8+ Tem1-N	Treg-N|GZMK+ CD8+ Tem1-Y	Treg-N|SPP1+ Mac-N	Treg-N|SPP1+ Mac-Y	Treg-N|Treg-N	Treg-N|Treg-Y	Treg-Y|CD4+ Tex-N	Treg-Y|CD4+ Tex-Y	Treg-Y|GZMK+ CD8+ Tem1-N	Treg-Y|GZMK+ CD8+ Tem1-Y	Treg-Y|SPP1+ Mac-N	Treg-Y|SPP1+ Mac-Y	Treg-Y|Treg-N	Treg-Y|Treg-Y
CPI-SS0A7B487D4	KLRG2_WNT11	simple:A4D1S0	simple:O96014	KLRG2	WNT11	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FEC87269	KLRG2_TNFSF9	simple:A4D1S0	simple:P41273	KLRG2	TNFSF9	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.01	0.03	0.025	0.01	0.011	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	0.546	0.543	0.563	0.558	0.543	0.543	0.0	0.538	1.118	1.115	1.135	1.129	1.115	1.115	0.0	1.11	1.505	1.502	1.522	1.517	1.502	1.502	0.0	1.497	2.467	2.464	2.484	2.478	2.464	2.464	0.0	2.459	4.793	4.789	4.809	4.804	4.789	4.79	0.0	4.784	7.527	7.524	7.544	7.538	7.523	7.524	0.0	7.519	0.945	0.942	0.962	0.957	0.942	0.942	0.0	0.937	1.008	1.005	1.025	1.019	1.004	1.005	0.0	1.0
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.016	0.013	0.033	0.028	0.013	0.013	0.0	0.008	0.017	0.013	0.034	0.028	0.013	0.014	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.014	0.034	0.028	0.014	0.014	0.0	0.009	0.056	0.053	0.073	0.068	0.053	0.053	0.0	0.048	0.055	0.052	0.072	0.067	0.052	0.052	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS044DF8749	KLRG2_WNT5B	simple:A4D1S0	simple:Q9H1J7	KLRG2	WNT5B	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS072B19293	HLA-DPA1_GAL	simple:HLADPA1	simple:P22466	HLA-DPA1	GAL	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.533	0.533	0.0	0.0	0.0	0.0	0.0	0.0	1.105	1.105	0.0	0.0	0.0	0.0	0.0	0.0	1.492	1.492	0.0	0.0	0.0	0.0	0.0	0.0	2.454	2.454	0.0	0.0	0.0	0.0	0.0	0.0	4.779	4.779	0.0	0.0	0.0	0.0	0.0	0.0	7.514	7.513	0.0	0.0	0.0	0.0	0.0	0.0	0.932	0.932	0.0	0.0	0.0	0.0	0.0	0.0	0.995	0.995	0.0	0.0
CPI-SS0F8ABC300	GALR2_GAL	simple:O43603	simple:P22466	GALR2	GAL	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.0	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E70DD97F	GALR3_GAL	simple:O60755	simple:P22466	GALR3	GAL	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.35	0.493	0.296	0.303	0.006	0.005	0.162	0.166	0.35	0.494	0.296	0.303	0.006	0.005	0.162	0.166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.351	0.494	0.296	0.304	0.006	0.005	0.163	0.167	0.39	0.533	0.336	0.343	0.046	0.045	0.202	0.206	0.389	0.532	0.335	0.342	0.045	0.044	0.201	0.205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0.347	0.367	0.052	0.024	0.044	0.131	0.133	0.168	0.347	0.368	0.053	0.024	0.044	0.131	0.134	0.169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348	0.368	0.053	0.025	0.045	0.132	0.134	0.169	0.387	0.407	0.092	0.064	0.084	0.171	0.173	0.209	0.386	0.406	0.091	0.063	0.083	0.17	0.172	0.207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
