p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RPS4Y1	0	1.13213569063217	0.513	0	0	OA_BT	RPS4Y1
CST3	0	0.675452236472453	0.648	0.404	0	OA_BT	CST3
HLA-DRB1	0	0.52367173880292	0.871	0.7	0	OA_BT	HLA-DRB1
TXNIP	0	0.378005320479615	0.925	0.905	0	OA_BT	TXNIP
RPSA	0	0.156052752297602	0.927	0.966	0	OA_BT	RPSA
RPS3	7.44136168062009e-286	0.118038271061737	0.975	0.987	1.62898848550454e-281	OA_BT	RPS3
RPL11	1.4187851603938e-278	0.112961753620591	0.977	0.991	3.10586259461806e-274	OA_BT	RPL11
PFN1	7.87356180933379e-244	0.173894416069089	0.936	0.957	1.72360141568126e-239	OA_BT	PFN1
EEF1A1	1.66308814109948e-240	0.0957855065949871	0.991	0.995	3.64066624968087e-236	OA_BT	EEF1A1
RPLP1	5.85446370845376e-238	0.084458938863349	0.993	0.997	1.28160065041761e-233	OA_BT	RPLP1
RPL10	8.46126407905104e-235	0.0858397336124193	0.993	0.996	1.85225531954506e-230	OA_BT	RPL10
RPL19	5.4734210937825e-231	0.100856557925684	0.975	0.99	1.19818661163993e-226	OA_BT	RPL19
ACTB	1.38077552379102e-230	0.159019849638894	0.98	0.993	3.02265569913093e-226	OA_BT	ACTB
RPS10	5.23002765355603e-219	0.145602188701793	0.918	0.954	1.14490535363995e-214	OA_BT	RPS10
SH3BGRL3	6.94740856235949e-217	0.116418506665508	0.957	0.986	1.52085720838612e-212	OA_BT	SH3BGRL3
RPS5	9.01824611314923e-208	0.126950262829197	0.901	0.954	1.9741842566295e-203	OA_BT	RPS5
RPL13	1.22397504437788e-193	0.0783024897444453	0.985	0.996	2.67940376964762e-189	OA_BT	RPL13
RPL12	7.34465407323944e-189	0.0968109168501878	0.959	0.986	1.60781822317285e-184	OA_BT	RPL12
RPL9	7.16977080937658e-184	0.0929897390221608	0.943	0.981	1.56953452788063e-179	OA_BT	RPL9
BTG1	2.38593881161575e-182	0.158822741091255	0.894	0.94	5.22305865250804e-178	OA_BT	BTG1
EIF1AY	8.63420700104234e-182	0.278325017983777	0.115	0	1.89011425459818e-177	OA_BT	EIF1AY
IL32	4.07337185273114e-179	0.166125643125884	0.954	0.952	8.91701832281374e-175	OA_BT	IL32
RPS7	5.28532070427968e-177	0.0810699839111497	0.957	0.984	1.15700955537387e-172	OA_BT	RPS7
RPL18A	1.3971921548782e-174	0.0872929611923627	0.966	0.988	3.05859334624386e-170	OA_BT	RPL18A
TMSB10	1.65310928574458e-168	0.0893358641259399	0.992	0.995	3.61882153742346e-164	OA_BT	TMSB10
RPL28	1.98444584342396e-167	0.063586341878878	0.99	0.996	4.34415039583939e-163	OA_BT	RPL28
RPL10A	1.05384024685589e-165	0.111323638443035	0.907	0.953	2.30696168439223e-161	OA_BT	RPL10A
CFL1	5.6894470349096e-157	0.118772421955221	0.906	0.953	1.24547685041206e-152	OA_BT	CFL1
HLA-B	1.60334998140469e-154	0.0562390891559308	0.979	0.992	3.509893444293e-150	OA_BT	HLA-B
RPL18	7.16320320899608e-147	0.0645083545288876	0.956	0.99	1.56809681448133e-142	OA_BT	RPL18
RPS27A	8.30686536150802e-146	0.0645327187246032	0.981	0.993	1.81845589628772e-141	OA_BT	RPS27A
RPL32	3.708589041271e-132	0.0740680877509905	0.977	0.991	8.11847227024636e-128	OA_BT	RPL32
CD1C	4.34948426982436e-122	0.211124241563494	0.088	0.003	9.5214560150725e-118	OA_BT	CD1C
RPL8	2.04310642934636e-120	0.0614196930594302	0.935	0.981	4.47256428448212e-116	OA_BT	RPL8
RPS14	8.5251582217899e-119	0.0542031785812886	0.966	0.993	1.86624238633203e-114	OA_BT	RPS14
CD74	3.37044489287574e-113	0.191031744522138	0.873	0.863	7.37824091499428e-109	OA_BT	CD74
TMSB4X	5.5175089861105e-113	0.0544142738821498	0.999	0.998	1.20783789214945e-108	OA_BT	TMSB4X
MYL12B	3.79081311448728e-106	0.0618523313516071	0.854	0.949	8.29846898892411e-102	OA_BT	MYL12B
S100A4	3.83361428808749e-105	0.123957472363232	0.93	0.952	8.39216503805231e-101	OA_BT	S100A4
RPS8	5.11476557496484e-105	0.0629651205950479	0.952	0.986	1.11967333201555e-100	OA_BT	RPS8
ARHGDIB	2.16984103565555e-104	0.0799467896869601	0.831	0.927	4.74999901115356e-100	OA_BT	ARHGDIB
FXYD5	2.5616284464991e-103	0.187012835849158	0.723	0.79	5.60766083223118e-99	OA_BT	FXYD5
RPS6	5.66551300714825e-100	0.0614632363157073	0.926	0.976	1.24023745239482e-95	OA_BT	RPS6
KLRB1	9.86722327665542e-100	0.479858879483948	0.397	0.248	2.16003384749264e-95	OA_BT	KLRB1
