p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RNF213	2.04526089157524e-230	0.291164142353217	0.867	0.672	4.47728061774737e-226	RA_BT	RNF213
GIMAP4	4.97935296509946e-204	0.282042753883157	0.824	0.651	1.09003015758992e-199	RA_BT	GIMAP4
XAF1	3.23184215235279e-181	0.316868998436141	0.424	0.212	7.0748256557155e-177	RA_BT	XAF1
IRF1	4.95684698310613e-154	0.276354757448348	0.743	0.538	1.08510337307176e-149	RA_BT	IRF1
FYB1	1.54380089987419e-150	0.221882420672989	0.866	0.724	3.3795345499146e-146	RA_BT	FYB1
S100A9	3.62722109831209e-137	0.248619644928945	0.397	0.205	7.94034970631499e-133	RA_BT	S100A9
IKZF3	7.8954831477361e-136	0.260185750751143	0.707	0.512	1.72840021587091e-131	RA_BT	IKZF3
MYO1F	7.77868942306898e-132	0.257012986728538	0.656	0.466	1.70283290160403e-127	RA_BT	MYO1F
STK17A	2.0351996647226e-122	0.240481608937952	0.724	0.543	4.45525558604423e-118	RA_BT	STK17A
SAMD9L	4.54867343407446e-120	0.250934278713654	0.442	0.26	9.9575010145324e-116	RA_BT	SAMD9L
ISG15	4.63257813828755e-114	0.25997854150377	0.575	0.388	1.01411768025253e-109	RA_BT	ISG15
CTSW	3.42421586911567e-112	0.256195508091463	0.427	0.246	7.4959509590811e-108	RA_BT	CTSW
MX1	1.80468565039466e-111	0.228719007087272	0.285	0.138	3.95063735727894e-107	RA_BT	MX1
S100A8	9.32106785830864e-110	0.201313520714371	0.305	0.15	2.04047496486235e-105	RA_BT	S100A8
EVL	1.9577214998897e-108	0.211535487225909	0.789	0.633	4.28564813540855e-104	RA_BT	EVL
MIAT	2.54107557787954e-107	0.245037216312658	0.583	0.394	5.5626685475361e-103	RA_BT	MIAT
SMCHD1	8.844872680981e-104	0.230221465321979	0.67	0.483	1.93623107859355e-99	RA_BT	SMCHD1
PARP14	7.10255986990339e-102	0.213915242360604	0.397	0.229	1.55482138112055e-97	RA_BT	PARP14
LCK	1.98233151886329e-100	0.1989734472431	0.778	0.632	4.33952192794363e-96	RA_BT	LCK
