p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CXCL8	0	0.49660903525393	0.315	0.075	0	RA_BT	CXCL8
SPP1	0	0.484723722417519	0.853	0.748	0	RA_BT	SPP1
CTSL	0	0.475987144457598	0.786	0.603	0	RA_BT	CTSL
SLC2A3	0	0.443464788811229	0.7	0.494	0	RA_BT	SLC2A3
C15orf48	0	0.42270506523522	0.658	0.442	0	RA_BT	C15orf48
MT-ND4L	0	0.324260470966269	0.78	0.593	0	RA_BT	MT-ND4L
CTSB	0	0.317224093908363	0.878	0.758	0	RA_BT	CTSB
S100A9	3.44073929005502e-298	0.417256902898526	0.768	0.551	7.53212237985945e-294	RA_BT	S100A9
VEGFA	9.89050567434254e-291	0.336891564909389	0.422	0.208	2.16513059717033e-286	RA_BT	VEGFA
DUSP6	2.08222361372969e-288	0.372273273689338	0.638	0.44	4.55819571281565e-284	RA_BT	DUSP6
CCL2	1.06695415911047e-287	0.499012396655602	0.576	0.359	2.33566934970874e-283	RA_BT	CCL2
P4HA1	1.82767839364325e-286	0.32540086158676	0.466	0.256	4.00097077152444e-282	RA_BT	P4HA1
TIMP1	5.17612051626556e-284	0.330843135465861	0.872	0.745	1.13310454221569e-279	RA_BT	TIMP1
CXCL2	8.60303652375046e-277	0.362073208451979	0.271	0.093	1.88329072541421e-272	RA_BT	CXCL2
SOD2	6.70031659504809e-273	0.356260435424654	0.666	0.48	1.46676630582198e-268	RA_BT	SOD2
ERO1A	1.13667186858314e-270	0.328077766386792	0.594	0.413	2.48828838751535e-266	RA_BT	ERO1A
VCAN	9.81107174759357e-261	0.380130260739816	0.703	0.519	2.14774171626571e-256	RA_BT	VCAN
AC245128.3	1.97702698737203e-255	0.23831003132038	0.239	0.075	4.32790977805612e-251	RA_BT	AC245128.3
CD44	3.61085509211137e-253	0.152770896314375	0.972	0.927	7.90452288214101e-249	RA_BT	CD44
AQP9	8.94943690602783e-253	0.300833162560048	0.427	0.221	1.95912123309855e-248	RA_BT	AQP9
CD300E	1.4082449255659e-244	0.328208709940054	0.51	0.299	3.08278896655632e-240	RA_BT	CD300E
SAT1	2.23920564710121e-244	0.248871299594378	0.895	0.774	4.90184508206926e-240	RA_BT	SAT1
HMOX1	2.29196342195456e-244	0.396280846893886	0.636	0.466	5.01733712700072e-240	RA_BT	HMOX1
FNDC3B	2.50872912498894e-243	0.300056457856555	0.583	0.399	5.49185892751329e-239	RA_BT	FNDC3B
GLUL	1.16869917112229e-237	0.305273011223713	0.764	0.63	2.5583993555038e-233	RA_BT	GLUL
CXCL3	1.28102066875209e-237	0.313652189340722	0.237	0.079	2.80428234596521e-233	RA_BT	CXCL3
CTSD	2.9941112755859e-236	0.280225278137536	0.831	0.737	6.55440899338509e-232	RA_BT	CTSD
SLC39A8	2.5814439560674e-234	0.294222971604027	0.356	0.171	5.65103896422714e-230	RA_BT	SLC39A8
CD163	1.77743671266788e-229	0.369628430129114	0.568	0.384	3.89098670770126e-225	RA_BT	CD163
CCL7	1.99629218418177e-228	0.267482687605705	0.181	0.046	4.3700832203923e-224	RA_BT	CCL7
DSE	4.01222195988263e-225	0.286761808408541	0.601	0.425	8.78315509237907e-221	RA_BT	DSE
ANPEP	4.22046817928827e-225	0.324167877504805	0.606	0.44	9.23902689127995e-221	RA_BT	ANPEP
FTL	1.0658112760148e-215	0.160336274759442	0.995	0.974	2.33316746432399e-211	RA_BT	FTL
LDHA	2.27613793852608e-213	0.193425112359874	0.906	0.822	4.98269356122743e-209	RA_BT	LDHA
IER3	1.2720322703055e-210	0.341179236251801	0.564	0.389	2.78460584292578e-206	RA_BT	IER3
PLIN2	1.66296238887716e-205	0.31264323209721	0.545	0.383	3.64039096549098e-201	RA_BT	PLIN2
FTH1	3.04761118530465e-203	0.121448781625742	0.999	0.992	6.67152564575042e-199	RA_BT	FTH1
FCGR3A	4.12254161997875e-199	0.313186809985034	0.642	0.486	9.02465586029547e-195	RA_BT	FCGR3A
HK2	6.75271971926419e-199	0.255191672734908	0.279	0.126	1.47823787374412e-194	RA_BT	HK2
PLAUR	1.86791470796591e-198	0.272820836170309	0.559	0.377	4.08905208720818e-194	RA_BT	PLAUR
SERPINA1	2.06628232719083e-197	0.282572861792695	0.598	0.4	4.52329864245345e-193	RA_BT	SERPINA1
MIF	1.69555655913085e-194	0.230803534317865	0.773	0.653	3.71174286359334e-190	RA_BT	MIF
NAMPT	9.06919764594538e-194	0.277360135396709	0.65	0.484	1.9853380566739e-189	RA_BT	NAMPT
MARCO	5.06083902934536e-191	0.319079036721629	0.644	0.475	1.10786827191399e-186	RA_BT	MARCO
ANXA5	4.95108952689471e-190	0.190132681904829	0.899	0.82	1.08384300833252e-185	RA_BT	ANXA5
DMXL2	1.47695245924076e-187	0.247950988635076	0.421	0.252	3.23319662852395e-183	RA_BT	DMXL2
TYMP	8.71325130346381e-187	0.232444829186361	0.886	0.761	1.90741784284126e-182	RA_BT	TYMP
PSAP	2.83881064864778e-185	0.23441544745453	0.843	0.725	6.21444039095485e-181	RA_BT	PSAP
SEMA6B	6.82969694688059e-184	0.196901478646684	0.239	0.095	1.49508895864163e-179	RA_BT	SEMA6B
SLC11A1	3.3194344645637e-181	0.286175635498012	0.638	0.467	7.26657398637639e-177	RA_BT	SLC11A1
FOS	2.32235027915473e-179	0.273582027666095	0.748	0.622	5.08385699609762e-175	RA_BT	FOS
IFNGR2	3.98750200791649e-177	0.259826812133106	0.548	0.39	8.72904064552999e-173	RA_BT	IFNGR2
APLP2	6.79804871472437e-176	0.233694388986385	0.756	0.612	1.48816084414031e-171	RA_BT	APLP2
FCGR1A	5.93700329476601e-175	0.243915712656202	0.329	0.173	1.29966939125723e-170	RA_BT	FCGR1A
ITGAM	1.01148563314057e-174	0.24756396318595	0.582	0.418	2.21424319950802e-170	RA_BT	ITGAM
TPI1	1.21725726630469e-169	0.181485460013039	0.863	0.775	2.6646978816676e-165	RA_BT	TPI1
FCGR2A	5.16438202314966e-169	0.250441756951815	0.527	0.362	1.13053486868769e-164	RA_BT	FCGR2A
CD14	3.12645614208838e-165	0.290612723795805	0.628	0.444	6.84412514064568e-161	RA_BT	CD14
CD68	3.59784412555574e-165	0.26427251550346	0.724	0.552	7.87604057525408e-161	RA_BT	CD68
CTSS	2.69488534141674e-164	0.216745257272865	0.834	0.719	5.89937350089538e-160	RA_BT	CTSS
CLEC5A	4.48673872396061e-160	0.254409705893919	0.361	0.208	9.82191974062216e-156	RA_BT	CLEC5A
MT-ND3	6.66345439591862e-159	0.029070236677883	0.996	0.999	1.45869680181055e-154	RA_BT	MT-ND3
CCR1	2.62946054342359e-158	0.242912150588194	0.609	0.452	5.75615207560858e-154	RA_BT	CCR1
HSP90B1	9.01558178778773e-157	0.234667429343506	0.769	0.673	1.97360100916461e-152	RA_BT	HSP90B1
MXD1	1.12500571962172e-156	0.22829628025412	0.397	0.242	2.46275002082391e-152	RA_BT	MXD1
ADM	3.11951260699985e-156	0.195595509134544	0.209	0.086	6.82892504798337e-152	RA_BT	ADM
DDX60L	4.57179845201835e-155	0.245345511186367	0.454	0.302	1.00081239913134e-150	RA_BT	DDX60L
ENO1	6.07281708533171e-155	0.150326435489217	0.908	0.836	1.32940038814996e-150	RA_BT	ENO1
TLR2	7.44609431119765e-155	0.237175602725513	0.459	0.304	1.63002450566428e-150	RA_BT	TLR2
LUCAT1	2.66820768643514e-151	0.186044822747527	0.23	0.102	5.84097344637517e-147	RA_BT	LUCAT1
ENG	2.71716490939421e-149	0.238924537880197	0.576	0.429	5.94814570315486e-145	RA_BT	ENG
PKM	5.88769676817712e-149	0.180474182511702	0.822	0.723	1.28887569952165e-144	RA_BT	PKM
NFKBIA	1.34785622161728e-148	0.212725550904673	0.762	0.666	2.9505920547424e-144	RA_BT	NFKBIA
BNIP3L	2.14895407696219e-147	0.223637144224797	0.625	0.499	4.70427536987793e-143	RA_BT	BNIP3L
SLC16A3	3.01173612504687e-147	0.21293684163429	0.678	0.547	6.59299155134011e-143	RA_BT	SLC16A3
ZEB2	6.81109171686966e-146	0.209157131090308	0.803	0.658	1.49101608773994e-141	RA_BT	ZEB2
RNASET2	3.80090200684426e-145	0.219469852346468	0.642	0.511	8.32055458318278e-141	RA_BT	RNASET2
MMP19	7.45086781837518e-145	0.289549565039891	0.492	0.344	1.63106947412051e-140	RA_BT	MMP19
TPM4	7.94124668896899e-144	0.201183972546739	0.75	0.64	1.7384183126822e-139	RA_BT	TPM4
JUNB	9.43837061190228e-144	0.200427205591313	0.803	0.701	2.06615371065153e-139	RA_BT	JUNB
