p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SPP1	0	0.979648900756992	0.696	0.302	0	RA_BT	SPP1
CCL2	0	0.568247243553372	0.492	0.229	0	RA_BT	CCL2
FN1	0	0.564070292947242	0.731	0.502	0	RA_BT	FN1
SLC2A3	0	0.547293691504357	0.686	0.403	0	RA_BT	SLC2A3
FCGR3A	0	0.547249225670801	0.598	0.33	0	RA_BT	FCGR3A
MT2A	0	0.524421243630442	0.612	0.318	0	RA_BT	MT2A
CTSL	0	0.518047710548794	0.683	0.446	0	RA_BT	CTSL
CXCL3	0	0.516128347521173	0.309	0.054	0	RA_BT	CXCL3
SDC2	0	0.484969342332785	0.351	0.1	0	RA_BT	SDC2
FBP1	0	0.482683315883166	0.581	0.367	0	RA_BT	FBP1
GPNMB	0	0.471680321066334	0.501	0.239	0	RA_BT	GPNMB
RNASE1	0	0.469732474228074	0.464	0.23	0	RA_BT	RNASE1
CXCL2	0	0.46677510151126	0.315	0.064	0	RA_BT	CXCL2
CTSB	0	0.465850010771752	0.831	0.664	0	RA_BT	CTSB
S100A8	0	0.449246362267711	0.71	0.411	0	RA_BT	S100A8
GBP1	0	0.447834206478638	0.52	0.217	0	RA_BT	GBP1
GLUL	0	0.447061526657289	0.705	0.495	0	RA_BT	GLUL
MARCO	0	0.44623854139369	0.596	0.365	0	RA_BT	MARCO
PLIN2	0	0.438493464225779	0.535	0.287	0	RA_BT	PLIN2
CD163	0	0.433456755509324	0.492	0.241	0	RA_BT	CD163
STAT1	0	0.429144187167561	0.635	0.344	0	RA_BT	STAT1
CYP1B1	0	0.426911242324996	0.261	0.054	0	RA_BT	CYP1B1
SOD2	0	0.412164658433915	0.658	0.447	0	RA_BT	SOD2
S100A9	0	0.411952097185424	0.765	0.486	0	RA_BT	S100A9
SLC11A1	0	0.39967864312269	0.582	0.334	0	RA_BT	SLC11A1
IER3	0	0.394283954109846	0.517	0.27	0	RA_BT	IER3
CTSD	0	0.393334485677288	0.804	0.582	0	RA_BT	CTSD
SLC39A8	0	0.37611237353389	0.427	0.178	0	RA_BT	SLC39A8
HK2	0	0.351812420751913	0.328	0.113	0	RA_BT	HK2
ERO1A	0	0.343512519920511	0.571	0.341	0	RA_BT	ERO1A
DMXL2	0	0.338935708929946	0.481	0.229	0	RA_BT	DMXL2
PIM1	0	0.335673648170639	0.536	0.262	0	RA_BT	PIM1
PSAP	0	0.329842146882696	0.787	0.632	0	RA_BT	PSAP
XAF1	0	0.323261642968875	0.481	0.224	0	RA_BT	XAF1
SLAMF9	0	0.316297216609218	0.253	0.044	0	RA_BT	SLAMF9
AQP9	0	0.312305645659011	0.449	0.19	0	RA_BT	AQP9
GNS	0	0.307154576510825	0.499	0.253	0	RA_BT	GNS
NPL	5.9548765341935e-298	0.267041870794652	0.389	0.168	1.3035820221003e-293	RA_BT	NPL
LAMP1	3.62532897508627e-297	0.302038296151235	0.642	0.397	7.93620765936135e-293	RA_BT	LAMP1
IFI6	7.63878392702111e-295	0.299629836064858	0.619	0.355	1.67220618946419e-290	RA_BT	IFI6
TNS3	1.43091420520851e-294	0.260712045432563	0.327	0.124	3.13241428662196e-290	RA_BT	TNS3
APOL6	4.25889779114508e-293	0.292320543956382	0.562	0.313	9.3231531545957e-289	RA_BT	APOL6
TTYH3	4.96787709666225e-292	0.290226478896508	0.479	0.252	1.08751797523033e-287	RA_BT	TTYH3
