SOURCE	TARGET	count
ZNF683+ CD8+ Trm_OA_BT	ZNF683+ CD8+ Trm_OA_BT	0
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ NKTem_OA_BT	2
ZNF683+ CD8+ Trm_OA_BT	GNLY+ NK_OA_BT	1
ZNF683+ CD8+ Trm_OA_BT	Naive T_OA_BT	0
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ Tem2_OA_BT	2
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ Tem1_OA_BT	1
ZNF683+ CD8+ Trm_OA_BT	Proliferating CD8+ T_OA_BT	4
ZNF683+ CD8+ Trm_OA_BT	CD4+ Tex_OA_BT	0
ZNF683+ CD8+ Trm_OA_BT	Treg_OA_BT	0
ZNF683+ CD8+ Trm_OA_BT	Proliferating NK_OA_BT	5
ZNF683+ CD8+ Trm_OA_BT	Naive T_RA_BT	7
ZNF683+ CD8+ Trm_OA_BT	Treg_RA_BT	10
ZNF683+ CD8+ Trm_OA_BT	CD4+ Tex_RA_BT	17
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ Tem2_RA_BT	6
ZNF683+ CD8+ Trm_OA_BT	GNLY+ NK_RA_BT	12
ZNF683+ CD8+ Trm_OA_BT	ZNF683+ CD8+ Trm_RA_BT	5
ZNF683+ CD8+ Trm_OA_BT	Proliferating CD8+ T_RA_BT	16
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ Tem1_RA_BT	13
ZNF683+ CD8+ Trm_OA_BT	Proliferating NK_RA_BT	12
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ NKTem_RA_BT	8
ZNF683+ CD8+ Trm_OA_BT	GNLY+ NK_RA_AT	13
ZNF683+ CD8+ Trm_OA_BT	Naive T_RA_AT	6
ZNF683+ CD8+ Trm_OA_BT	ZNF683+ CD8+ Trm_RA_AT	3
ZNF683+ CD8+ Trm_OA_BT	Proliferating NK_RA_AT	12
ZNF683+ CD8+ Trm_OA_BT	Treg_RA_AT	6
ZNF683+ CD8+ Trm_OA_BT	CD4+ Tex_RA_AT	13
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ Tem2_RA_AT	2
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ Tem1_RA_AT	3
ZNF683+ CD8+ Trm_OA_BT	Proliferating CD8+ T_RA_AT	13
ZNF683+ CD8+ Trm_OA_BT	GZMK+ CD8+ NKTem_RA_AT	2
GZMK+ CD8+ NKTem_OA_BT	ZNF683+ CD8+ Trm_OA_BT	2
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ NKTem_OA_BT	1
GZMK+ CD8+ NKTem_OA_BT	GNLY+ NK_OA_BT	4
GZMK+ CD8+ NKTem_OA_BT	Naive T_OA_BT	2
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ Tem2_OA_BT	3
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ Tem1_OA_BT	5
GZMK+ CD8+ NKTem_OA_BT	Proliferating CD8+ T_OA_BT	16
GZMK+ CD8+ NKTem_OA_BT	CD4+ Tex_OA_BT	1
GZMK+ CD8+ NKTem_OA_BT	Treg_OA_BT	1
GZMK+ CD8+ NKTem_OA_BT	Proliferating NK_OA_BT	15
GZMK+ CD8+ NKTem_OA_BT	Naive T_RA_BT	24
GZMK+ CD8+ NKTem_OA_BT	Treg_RA_BT	26
GZMK+ CD8+ NKTem_OA_BT	CD4+ Tex_RA_BT	35
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ Tem2_RA_BT	23
GZMK+ CD8+ NKTem_OA_BT	GNLY+ NK_RA_BT	24
GZMK+ CD8+ NKTem_OA_BT	ZNF683+ CD8+ Trm_RA_BT	22
GZMK+ CD8+ NKTem_OA_BT	Proliferating CD8+ T_RA_BT	40
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ Tem1_RA_BT	30
GZMK+ CD8+ NKTem_OA_BT	Proliferating NK_RA_BT	23
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ NKTem_RA_BT	18
GZMK+ CD8+ NKTem_OA_BT	GNLY+ NK_RA_AT	27
GZMK+ CD8+ NKTem_OA_BT	Naive T_RA_AT	14
GZMK+ CD8+ NKTem_OA_BT	ZNF683+ CD8+ Trm_RA_AT	14
GZMK+ CD8+ NKTem_OA_BT	Proliferating NK_RA_AT	24
GZMK+ CD8+ NKTem_OA_BT	Treg_RA_AT	29
GZMK+ CD8+ NKTem_OA_BT	CD4+ Tex_RA_AT	31
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ Tem2_RA_AT	10
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ Tem1_RA_AT	14
GZMK+ CD8+ NKTem_OA_BT	Proliferating CD8+ T_RA_AT	39
GZMK+ CD8+ NKTem_OA_BT	GZMK+ CD8+ NKTem_RA_AT	9
GNLY+ NK_OA_BT	ZNF683+ CD8+ Trm_OA_BT	1
GNLY+ NK_OA_BT	GZMK+ CD8+ NKTem_OA_BT	4
GNLY+ NK_OA_BT	GNLY+ NK_OA_BT	3
GNLY+ NK_OA_BT	Naive T_OA_BT	1
GNLY+ NK_OA_BT	GZMK+ CD8+ Tem2_OA_BT	2
GNLY+ NK_OA_BT	GZMK+ CD8+ Tem1_OA_BT	2
GNLY+ NK_OA_BT	Proliferating CD8+ T_OA_BT	9
GNLY+ NK_OA_BT	CD4+ Tex_OA_BT	2
GNLY+ NK_OA_BT	Treg_OA_BT	2
GNLY+ NK_OA_BT	Proliferating NK_OA_BT	12
GNLY+ NK_OA_BT	Naive T_RA_BT	12
GNLY+ NK_OA_BT	Treg_RA_BT	17
GNLY+ NK_OA_BT	CD4+ Tex_RA_BT	22
GNLY+ NK_OA_BT	GZMK+ CD8+ Tem2_RA_BT	12
GNLY+ NK_OA_BT	GNLY+ NK_RA_BT	20
GNLY+ NK_OA_BT	ZNF683+ CD8+ Trm_RA_BT	11
GNLY+ NK_OA_BT	Proliferating CD8+ T_RA_BT	24
GNLY+ NK_OA_BT	GZMK+ CD8+ Tem1_RA_BT	21
GNLY+ NK_OA_BT	Proliferating NK_RA_BT	14
GNLY+ NK_OA_BT	GZMK+ CD8+ NKTem_RA_BT	11
GNLY+ NK_OA_BT	GNLY+ NK_RA_AT	18
GNLY+ NK_OA_BT	Naive T_RA_AT	7
GNLY+ NK_OA_BT	ZNF683+ CD8+ Trm_RA_AT	7
GNLY+ NK_OA_BT	Proliferating NK_RA_AT	12
GNLY+ NK_OA_BT	Treg_RA_AT	15
GNLY+ NK_OA_BT	CD4+ Tex_RA_AT	19
GNLY+ NK_OA_BT	GZMK+ CD8+ Tem2_RA_AT	7
GNLY+ NK_OA_BT	GZMK+ CD8+ Tem1_RA_AT	12
GNLY+ NK_OA_BT	Proliferating CD8+ T_RA_AT	20
GNLY+ NK_OA_BT	GZMK+ CD8+ NKTem_RA_AT	6
Naive T_OA_BT	ZNF683+ CD8+ Trm_OA_BT	0
Naive T_OA_BT	GZMK+ CD8+ NKTem_OA_BT	2
Naive T_OA_BT	GNLY+ NK_OA_BT	1
Naive T_OA_BT	Naive T_OA_BT	0
Naive T_OA_BT	GZMK+ CD8+ Tem2_OA_BT	2
Naive T_OA_BT	GZMK+ CD8+ Tem1_OA_BT	1
Naive T_OA_BT	Proliferating CD8+ T_OA_BT	2
Naive T_OA_BT	CD4+ Tex_OA_BT	0
Naive T_OA_BT	Treg_OA_BT	0
Naive T_OA_BT	Proliferating NK_OA_BT	4
Naive T_OA_BT	Naive T_RA_BT	6
Naive T_OA_BT	Treg_RA_BT	8
Naive T_OA_BT	CD4+ Tex_RA_BT	16
Naive T_OA_BT	GZMK+ CD8+ Tem2_RA_BT	7
Naive T_OA_BT	GNLY+ NK_RA_BT	9
Naive T_OA_BT	ZNF683+ CD8+ Trm_RA_BT	6
Naive T_OA_BT	Proliferating CD8+ T_RA_BT	13
Naive T_OA_BT	GZMK+ CD8+ Tem1_RA_BT	11
Naive T_OA_BT	Proliferating NK_RA_BT	10
Naive T_OA_BT	GZMK+ CD8+ NKTem_RA_BT	9
Naive T_OA_BT	GNLY+ NK_RA_AT	10
Naive T_OA_BT	Naive T_RA_AT	5
Naive T_OA_BT	ZNF683+ CD8+ Trm_RA_AT	4
Naive T_OA_BT	Proliferating NK_RA_AT	10
Naive T_OA_BT	Treg_RA_AT	8
Naive T_OA_BT	CD4+ Tex_RA_AT	14
Naive T_OA_BT	GZMK+ CD8+ Tem2_RA_AT	2
Naive T_OA_BT	GZMK+ CD8+ Tem1_RA_AT	6
Naive T_OA_BT	Proliferating CD8+ T_RA_AT	12
Naive T_OA_BT	GZMK+ CD8+ NKTem_RA_AT	3
GZMK+ CD8+ Tem2_OA_BT	ZNF683+ CD8+ Trm_OA_BT	2
GZMK+ CD8+ Tem2_OA_BT	GZMK+ CD8+ NKTem_OA_BT	3
GZMK+ CD8+ Tem2_OA_BT	GNLY+ NK_OA_BT	2
GZMK+ CD8+ Tem2_OA_BT	Naive T_OA_BT	2
GZMK+ CD8+ Tem2_OA_BT	GZMK+ CD8+ Tem2_OA_BT	0
GZMK+ CD8+ Tem2_OA_BT	GZMK+ CD8+ Tem1_OA_BT	4
GZMK+ CD8+ Tem2_OA_BT	Proliferating CD8+ T_OA_BT	8
GZMK+ CD8+ Tem2_OA_BT	CD4+ Tex_OA_BT	2
GZMK+ CD8+ Tem2_OA_BT	Treg_OA_BT	1
GZMK+ CD8+ Tem2_OA_BT	Proliferating NK_OA_BT	7
GZMK+ CD8+ Tem2_OA_BT	Naive T_RA_BT	15
GZMK+ CD8+ Tem2_OA_BT	Treg_RA_BT	14
GZMK+ CD8+ Tem2_OA_BT	CD4+ Tex_RA_BT	21
GZMK+ CD8+ Tem2_OA_BT	GZMK+ CD8+ Tem2_RA_BT	8
GZMK+ CD8+ Tem2_OA_BT	GNLY+ NK_RA_BT	13
GZMK+ CD8+ Tem2_OA_BT	ZNF683+ CD8+ Trm_RA_BT	8
GZMK+ CD8+ Tem2_OA_BT	Proliferating CD8+ T_RA_BT	25
GZMK+ CD8+ Tem2_OA_BT	GZMK+ CD8+ Tem1_RA_BT	14
GZMK+ CD8+ Tem2_OA_BT	Proliferating NK_RA_BT	16
GZMK+ CD8+ Tem2_OA_BT	GZMK+ CD8+ NKTem_RA_BT	10
