p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RPS4Y1	3.08705459069772e-249	1.04860046920814	0.449	0	6.75787120449639e-245	OA_BT	RPS4Y1
HLA-DRB1	3.35994966320147e-122	0.356042830778574	0.949	0.934	7.35526580771434e-118	OA_BT	HLA-DRB1
BTG1	4.08422542712777e-88	0.267676641706749	0.925	0.936	8.94077788252541e-84	OA_BT	BTG1
TXNIP	8.60988640178153e-86	0.249111974128658	0.936	0.955	1.88479023221399e-81	OA_BT	TXNIP
CST3	1.64360872616704e-85	0.621936702460547	0.67	0.492	3.59802386245226e-81	OA_BT	CST3
RPSA	7.96360881614572e-77	0.133484146253143	0.945	0.989	1.74331360594246e-72	OA_BT	RPSA
RPS3	4.17323438892332e-72	0.0972332646905398	0.983	0.995	9.13562740079204e-68	OA_BT	RPS3
RPL11	3.23004621348063e-71	0.102429464185361	0.983	0.998	7.07089416593045e-67	OA_BT	RPL11
RPL13	7.90175846933201e-62	0.073925766341453	0.99	0.999	1.72977394652147e-57	OA_BT	RPL13
EEF1A1	3.72185593630601e-61	0.0811002489320813	0.997	0.998	8.14751483016749e-57	OA_BT	EEF1A1
RPS10	6.55242813098215e-56	0.141891047167866	0.935	0.976	1.4343920421533e-51	OA_BT	RPS10
CXCR4	9.04446429127947e-56	0.379813951654543	0.796	0.694	1.97992367800399e-51	OA_BT	CXCR4
RPL28	1.24998905950709e-54	0.0666070188726082	0.993	0.999	2.73635105016697e-50	OA_BT	RPL28
EIF1AY	1.4373176636158e-53	0.276392927359695	0.102	0	3.14643209742134e-49	OA_BT	EIF1AY
CD1C	7.71274148913355e-48	0.262453561972409	0.106	0.004	1.68839623938623e-43	OA_BT	CD1C
RPS8	2.8876184599596e-47	0.0760562449078095	0.962	0.997	6.32128557069757e-43	OA_BT	RPS8
RPLP1	4.68536935380911e-47	0.0665742929561386	0.994	0.999	1.02567420524235e-42	OA_BT	RPLP1
RPL9	3.05008539387366e-46	0.0851819351372547	0.945	0.992	6.67694193572884e-42	OA_BT	RPL9
HLA-B	9.0966150106483e-45	0.0643466302654581	0.996	0.999	1.99133999198102e-40	OA_BT	HLA-B
RPS5	1.33143538660209e-44	0.0992658289782913	0.922	0.984	2.91464520481064e-40	OA_BT	RPS5
RPL10	5.28625470106734e-43	0.0608954487296658	1	1	1.15721401661065e-38	OA_BT	RPL10
RPL19	6.49179965603188e-41	0.0708093176387754	0.986	1	1.42111986270194e-36	OA_BT	RPL19
RPL12	3.46783879869093e-38	0.0650476598659282	0.952	0.997	7.59144591421431e-34	OA_BT	RPL12
CCL4	7.0683490772297e-38	0.173846766278556	0.834	0.909	1.54733229649635e-33	OA_BT	CCL4
RPL18	8.11916328901616e-37	0.0635256463858531	0.969	0.997	1.77736603559853e-32	OA_BT	RPL18
RPL32	4.94840260291732e-34	0.0481076597549341	0.969	0.999	1.08325481380463e-29	OA_BT	RPL32
FTL	2.0046591287309e-33	0.0823288974018317	0.958	0.995	4.38839929870482e-29	OA_BT	FTL
RPLP2	1.50312951668904e-31	0.0654526424377937	0.967	0.997	3.29050082498397e-27	OA_BT	RPLP2
CD74	5.98720020722936e-30	0.105691789734387	0.959	0.978	1.31065799736458e-25	OA_BT	CD74
RPL10A	2.51174332333962e-29	0.0607062457592	0.911	0.981	5.49845730912276e-25	OA_BT	RPL10A
PRG4	9.01459317438036e-29	0.128318085769273	0.058	0.001	1.9733845918036e-24	OA_BT	PRG4
TSC22D3	3.27508412146286e-28	0.217283976838762	0.741	0.782	7.16948665029434e-24	OA_BT	TSC22D3
RPS27A	7.80286725773681e-28	0.0444572000885946	0.99	0.999	1.70812567139116e-23	OA_BT	RPS27A
RPS7	1.57844634823175e-27	0.0473784003681144	0.963	0.996	3.45537690091411e-23	OA_BT	RPS7
RPS14	7.62924561076056e-27	0.0368662087968348	0.976	0.999	1.6701181566516e-22	OA_BT	RPS14
RPS2	1.16560936862251e-26	0.0466467244039857	0.982	0.998	2.55163546885154e-22	OA_BT	RPS2
SRGN	4.48357109851638e-26	0.0810292200964966	0.88	0.969	9.8149854917622e-22	OA_BT	SRGN
FCER1A	5.75466957531765e-26	0.144457241913981	0.058	0.002	1.25975471673279e-21	OA_BT	FCER1A
PFN1	3.04160725827682e-25	0.0685025007165292	0.955	0.991	6.65838244909378e-21	OA_BT	PFN1
TPT1	3.28033496910299e-25	0.0410224291446917	0.99	0.998	7.18098128086336e-21	OA_BT	TPT1
RPL8	6.58946245848102e-25	0.0548747815562389	0.952	0.992	1.44249922678608e-20	OA_BT	RPL8
RPS13	6.89912427911443e-25	0.0435127493674663	0.932	0.994	1.51028729594094e-20	OA_BT	RPS13
FTH1	2.80248721097039e-24	0.0402836302761005	0.952	0.999	6.13492475353528e-20	OA_BT	FTH1
RPL18A	5.37076360446413e-24	0.0496222231613559	0.976	0.997	1.17571386065324e-19	OA_BT	RPL18A
RPL29	3.57159336668361e-23	0.0427228881377821	0.95	0.994	7.81857503900708e-19	OA_BT	RPL29
RPS6	2.37738774325595e-22	0.0451139094251849	0.938	0.989	5.20433950876159e-18	OA_BT	RPS6
DDX3Y	2.78482248969005e-22	0.113724429296972	0.041	0	6.0962549121805e-18	OA_BT	DDX3Y
ACTB	3.85988259063822e-22	0.0774149534127031	0.989	0.999	8.44966897916613e-18	OA_BT	ACTB
FXYD5	1.03412021041682e-21	0.212086967018363	0.635	0.717	2.26379255262346e-17	OA_BT	FXYD5
MMP9	1.40326318258039e-21	0.107367709859764	0.051	0.003	3.07188343298673e-17	OA_BT	MMP9
RPS12	6.55741153084195e-21	0.0399017626647358	0.987	0.999	1.43548295821661e-16	OA_BT	RPS12
KLRB1	1.47875273303691e-20	0.402908363745874	0.203	0.086	3.2371376078911e-16	OA_BT	KLRB1
ARHGDIB	6.30304694550639e-20	0.0360873230695404	0.846	0.968	1.3798000068408e-15	OA_BT	ARHGDIB
RPS29	1.46666914429444e-18	0.0378440752631355	0.972	0.998	3.21068542377497e-14	OA_BT	RPS29
SH3BGRL3	1.77315041397996e-18	0.0322797492084952	0.972	0.997	3.88160357124353e-14	OA_BT	SH3BGRL3
PFDN5	4.94968615380219e-18	0.0325159802562334	0.807	0.949	1.08353579592884e-13	OA_BT	PFDN5
USP9Y	5.77500701118021e-18	0.0945691277221863	0.033	0	1.26420678481746e-13	OA_BT	USP9Y
RPL6	6.15810509369566e-18	0.0193564227243284	0.932	0.995	1.34807078606092e-13	OA_BT	RPL6
TTTY15	3.02375494243775e-17	0.094009227170626	0.031	0	6.61930194449047e-13	OA_BT	TTTY15
UBA52	3.85913923716664e-17	0.00960782497846191	0.898	0.988	8.4480417040815e-13	OA_BT	UBA52
PTGDR	5.30616425775074e-17	0.240299025494005	0.139	0.051	1.16157241766421e-12	OA_BT	PTGDR
UTY	1.58303524408304e-16	0.0794382200079781	0.03	0	3.46542245282217e-12	OA_BT	UTY
DUSP2	2.29072129204263e-16	0.302313842534532	0.517	0.462	5.01461798041051e-12	OA_BT	DUSP2
CD40LG	5.83642984837111e-16	0.112681363845678	0.041	0.003	1.27765285810692e-11	OA_BT	CD40LG
PTMA	1.79726093534106e-15	0.0424055676291224	0.959	0.995	3.93438391355512e-11	OA_BT	PTMA
RPS9	2.59113213822671e-15	0.026270634880017	0.924	0.985	5.6722473637921e-11	OA_BT	RPS9
CCL5	2.46002727132617e-14	0.031753896156903	0.996	0.999	5.38524569966012e-10	OA_BT	CCL5
LSP1	3.67328049855443e-14	0.0738128329723604	0.734	0.869	8.04117833938551e-10	OA_BT	LSP1
HTRA1	6.39102615885961e-14	0.0803615148448208	0.038	0.004	1.39905953643596e-09	OA_BT	HTRA1
KDM5D	1.19036820514643e-13	0.0732821767554414	0.024	0	2.60583503788605e-09	OA_BT	KDM5D
CD1E	1.50437103058574e-13	0.0709831765413471	0.03	0.001	3.29321862305525e-09	OA_BT	CD1E
RPL7A	1.66892712104405e-13	0.0230780646047348	0.967	0.996	3.65344836067753e-09	OA_BT	RPL7A
XCL1	2.48105446731015e-13	0.1431058675359	0.062	0.014	5.43127633438865e-09	OA_BT	XCL1
RPL4	3.05672226739278e-13	0.0182859700692757	0.751	0.926	6.69147071554953e-09	OA_BT	RPL4
ATP5MC2	9.56279818660205e-13	0.0486697731947836	0.739	0.886	2.09339215102906e-08	OA_BT	ATP5MC2
PLA2G2A	1.08163049837826e-12	0.0656474715959292	0.03	0.002	2.36779732399984e-08	OA_BT	PLA2G2A
IL32	1.16056651083078e-12	0.0425315174287637	0.976	0.995	2.54059614885966e-08	OA_BT	IL32
IL7R	1.43612275315659e-12	0.310674034551698	0.191	0.102	3.14381631893509e-08	OA_BT	IL7R
APOE	1.45387228568529e-12	0.25776181087422	0.173	0.091	3.18267182059366e-08	OA_BT	APOE
LAIR2	3.57157441854513e-12	0.108303937622109	0.045	0.007	7.81853355963715e-08	OA_BT	LAIR2
ZFP36L2	3.72126084166161e-12	0.0484119140632	0.746	0.896	8.14621210848142e-08	OA_BT	ZFP36L2
RPS3A	8.46861625122041e-12	0.0221494552992052	0.973	0.997	1.85386478355466e-07	OA_BT	RPS3A
RPS27	8.72229345632887e-12	0.0361362262338996	0.996	0.998	1.90939726052495e-07	OA_BT	RPS27
CTSK	9.48883118006617e-12	0.108078943520078	0.055	0.012	2.07720003362829e-07	OA_BT	CTSK
GAPDH	9.897859976383e-12	0.00606052023639547	0.904	0.991	2.16674052743e-07	OA_BT	GAPDH
TMEM273	3.37664031711691e-11	0.0868241635599584	0.04	0.006	7.39180331820062e-07	OA_BT	TMEM273
DDIT4	4.48381550782579e-11	0.305210040953012	0.363	0.311	9.81552052818144e-07	OA_BT	DDIT4
RPL14	5.22674707354070e-11	0.00542201526547759	0.945	0.995	1.1441872018688e-06	OA_BT	RPL14
CCL3L1	5.23556171038262e-11	0.271393261311932	0.173	0.096	1.14611681401986e-06	OA_BT	CCL3L1
NACA	5.55071695184031e-11	0.00649653623643753	0.912	0.988	1.21510744792736e-06	OA_BT	NACA
RGS1	5.83052942446423e-11	0.29341237898102	0.282	0.2	1.27636119630946e-06	OA_BT	RGS1
CFL1	7.01076610257417e-11	0.0214478126433928	0.925	0.987	1.53472680751451e-06	OA_BT	CFL1
COL1A2	1.18543564952306e-10	0.0593380633653991	0.025	0.002	2.59503718037092e-06	OA_BT	COL1A2
RPS18	2.60827408317663e-10	0.0162283979280504	0.97	0.998	5.70977279548196e-06	OA_BT	RPS18
MGP	4.79472076134258e-10	0.0534850324851377	0.023	0.001	1.0496123218655e-05	OA_BT	MGP
SNHG25	4.85425466213506e-10	0.225885427160489	0.127	0.063	1.06264488808799e-05	OA_BT	SNHG25
AREG	6.41554130060546e-10	0.0903884252328172	0.035	0.006	1.40442614611554e-05	OA_BT	AREG
