p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
XAF1	1.48735845352066e-56	0.398963331109695	0.54	0.259	3.25597639060208e-52	RA_BT	XAF1
MYO1F	1.63597991883149e-51	0.3220482343542	0.773	0.532	3.581323640314e-47	RA_BT	MYO1F
GIMAP4	3.36168339796647e-48	0.210592074441701	0.945	0.829	7.35906112648841e-44	RA_BT	GIMAP4
IRF1	1.06947222380909e-46	0.301572998077811	0.836	0.616	2.34118164514048e-42	RA_BT	IRF1
MX1	1.22660030694018e-44	0.343106946392994	0.366	0.14	2.68515073192275e-40	RA_BT	MX1
ISG15	1.54926400972284e-44	0.338221624766956	0.719	0.468	3.39149384368427e-40	RA_BT	ISG15
RNF213	3.10588648680674e-43	0.23363190829019	0.905	0.754	6.79909610826863e-39	RA_BT	RNF213
CTSW	2.64728806765454e-42	0.329788492526913	0.714	0.422	5.79517830890255e-38	RA_BT	CTSW
S100A9	4.61815342994128e-42	0.309752847981607	0.413	0.175	1.01095996734845e-37	RA_BT	S100A9
STK17A	2.11983136794012e-39	0.263273891188182	0.841	0.641	4.64052284755771e-35	RA_BT	STK17A
S100A8	2.48903599075367e-36	0.264992021198575	0.334	0.129	5.44874868735885e-32	RA_BT	S100A8
PSMB9	4.05907276354405e-36	0.170786210901881	0.938	0.848	8.88571618667428e-32	RA_BT	PSMB9
PSME2	1.09102444737314e-35	0.23446851421531	0.845	0.669	2.38836161774454e-31	RA_BT	PSME2
PARP14	4.21842069404491e-32	0.279839854253878	0.467	0.247	9.23454474133372e-28	RA_BT	PARP14
SAMD9L	8.95614075603428e-32	0.282296989910684	0.586	0.362	1.96058877290346e-27	RA_BT	SAMD9L
IKZF3	1.21917868148115e-30	0.233656368945549	0.846	0.653	2.66890405163039e-26	RA_BT	IKZF3
STAT1	2.19031946095143e-30	0.267285022493427	0.392	0.192	4.79482833196877e-26	RA_BT	STAT1
CYTH4	2.55425518542011e-30	0.261048821057005	0.413	0.205	5.59152002640317e-26	RA_BT	CYTH4
FYB1	1.48960358847734e-29	0.188421546329774	0.908	0.781	3.26089121553575e-25	RA_BT	FYB1
PLEK	1.60472339956548e-28	0.253208086521798	0.435	0.229	3.5128999939888e-24	RA_BT	PLEK
TNFSF14	2.93561420540376e-28	0.236868015410147	0.321	0.143	6.42635305704938e-24	RA_BT	TNFSF14
TAP1	1.4307427010764e-27	0.257893590933582	0.67	0.443	3.13203884692634e-23	RA_BT	TAP1
PLEKHF1	1.90398968043572e-27	0.241743688306094	0.373	0.184	4.16802380944184e-23	RA_BT	PLEKHF1
