p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CRIP1	2.25566063511354e-26	0.250914845429777	0.975	0.917	4.93786669632706e-22	RA_BT	CRIP1
MT-ND3	2.88052974237985e-25	0.0879212380704186	1	1	6.30576765904373e-21	RA_BT	MT-ND3
AC058791.1	5.00266998597932e-24	0.479573488690672	0.684	0.391	1.09513448663073e-19	RA_BT	AC058791.1
RPS27	3.1688389872897e-22	0.0943374503398799	1	0.998	6.93690542707588e-18	RA_BT	RPS27
CTSW	1.31025974634323e-21	0.497547926626029	0.516	0.206	2.86828961071997e-17	RA_BT	CTSW
TNFAIP3	2.68093716992316e-21	0.41923128918308	0.775	0.57	5.86883955867879e-17	RA_BT	TNFAIP3
PTPRC	6.33586347921293e-21	0.123511335460925	0.996	0.995	1.3869838742345e-16	RA_BT	PTPRC
CST7	2.7053319957776e-17	0.174542108386772	0.96	0.947	5.92224227195674e-13	RA_BT	CST7
OAZ1	5.2424083379546e-16	0.136164854506466	0.985	0.981	1.14761560926164e-11	RA_BT	OAZ1
RPL39	3.4094570420752e-15	0.0907299246569471	0.996	0.997	7.46364241080683e-11	RA_BT	RPL39
SARAF	8.64153346702875e-14	0.188891490259825	0.96	0.9	1.89171809126726e-09	RA_BT	SARAF
TIGIT	3.33278911397402e-13	0.351480624888088	0.695	0.481	7.29580864940053e-09	RA_BT	TIGIT
SRGN	1.28980216715012e-12	0.133491402892377	0.964	0.961	2.82350592410832e-08	RA_BT	SRGN
CD7	1.76860262353875e-12	0.323690438957852	0.771	0.578	3.87164800318869e-08	RA_BT	CD7
LAG3	2.32793082841568e-12	0.324771603730502	0.676	0.488	5.09607337648477e-08	RA_BT	LAG3
PPP2R5C	3.14600396476277e-12	0.170596975558377	0.92	0.893	6.88691727926219e-08	RA_BT	PPP2R5C
NEAT1	5.79341802595046e-12	0.135210149133326	0.985	0.983	1.26823714006081e-07	RA_BT	NEAT1
C1orf56	1.72147638023908e-11	0.353345634239958	0.589	0.43	3.76848394398137e-07	RA_BT	C1orf56
IKZF2	5.57412839565287e-11	0.273326480887288	0.164	0.037	1.22023244709237e-06	RA_BT	IKZF2
LYST	6.7292543150673e-11	0.315139326389291	0.662	0.478	1.47310106211138e-06	RA_BT	LYST
MIF	3.43496903250565e-10	0.282096103949194	0.651	0.507	7.51949070905813e-06	RA_BT	MIF
CDC42SE1	3.50635870415369e-10	0.247448599881787	0.716	0.588	7.67576983926283e-06	RA_BT	CDC42SE1
CXCL8	3.55885185684734e-10	0.152773375505074	0.098	0.01	7.79068259982452e-06	RA_BT	CXCL8
CYBA	3.75099736085176e-10	0.105665973181365	0.996	0.978	8.21130832264058e-06	RA_BT	CYBA
PDE3B	4.18993058431429e-10	0.301372296652929	0.502	0.304	9.17217704212242e-06	RA_BT	PDE3B
