p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
XAF1	3.72647434834216e-63	0.547239231497238	0.562	0.181	8.15762499595583e-59	RA_BT	XAF1
DDX5	9.5196591366967e-52	0.247470608506012	0.981	0.854	2.08394858161428e-47	RA_BT	DDX5
RNF213	8.19797766564442e-49	0.337767887520874	0.916	0.675	1.79461929078622e-44	RA_BT	RNF213
SRRM2	8.88775587783657e-45	0.402067914286838	0.805	0.457	1.9456186392172e-40	RA_BT	SRRM2
MYO1F	3.08863092778448e-39	0.366427846101603	0.798	0.491	6.761321964013e-35	RA_BT	MYO1F
STK17A	2.92921676480291e-37	0.340039898923957	0.858	0.577	6.41234841983004e-33	RA_BT	STK17A
ATRX	4.93639581434996e-36	0.380483469682915	0.697	0.372	1.08062640771935e-31	RA_BT	ATRX
SAMD9L	1.07134984772687e-35	0.382771820200296	0.618	0.295	2.34529195165889e-31	RA_BT	SAMD9L
MT-ND1	1.93327152394383e-35	0.101698519474072	0.998	0.989	4.23212469306544e-31	RA_BT	MT-ND1
IKZF3	7.72892566430942e-33	0.319079473543238	0.861	0.585	1.69193911717398e-28	RA_BT	IKZF3
EVL	3.24671772828431e-32	0.282749818411668	0.91	0.679	7.10738977898719e-28	RA_BT	EVL
DDX17	4.25574091859079e-32	0.316520053883156	0.854	0.578	9.3162424448871e-28	RA_BT	DDX17
SYNE2	1.24491604907643e-31	0.32325631360018	0.819	0.563	2.72524572303321e-27	RA_BT	SYNE2
FYB1	7.37031794973407e-31	0.251301750967837	0.924	0.74	1.61343630237628e-26	RA_BT	FYB1
ANKRD11	2.35644392839981e-30	0.339331733423318	0.752	0.458	5.15849140366002e-26	RA_BT	ANKRD11
PCSK7	7.87466321940928e-30	0.330802602400738	0.748	0.469	1.72384252536089e-25	RA_BT	PCSK7
BPTF	5.34544054917626e-29	0.343244081954985	0.643	0.341	1.17017039062018e-24	RA_BT	BPTF
GOLGA4	6.35798584968116e-29	0.342655046007913	0.532	0.256	1.3918266823537e-24	RA_BT	GOLGA4
MT-CO1	8.80689563012106e-29	0.0415362265096864	0.998	1	1.9279175223898e-24	RA_BT	MT-CO1
CYTH4	3.56389759803615e-28	0.31969642698053	0.443	0.178	7.80172823186093e-24	RA_BT	CYTH4
OGA	4.02321543874442e-28	0.332183316786467	0.559	0.271	8.80722091695542e-24	RA_BT	OGA
ANKRD36C	4.77840816995511e-27	0.29338492710598	0.32	0.106	1.04604133248487e-22	RA_BT	ANKRD36C
GOLGB1	2.53922067851799e-26	0.329448018751766	0.504	0.248	5.55860798734374e-22	RA_BT	GOLGB1
IRF1	5.34796821319664e-26	0.285192100117905	0.863	0.624	1.17072372155088e-21	RA_BT	IRF1
UQCRB	8.0449642881414e-26	0.259313773163891	0.922	0.69	1.76112313231703e-21	RA_BT	UQCRB
MX1	8.88082219370132e-26	0.319082304398393	0.392	0.162	1.94410078642316e-21	RA_BT	MX1
TAP1	2.07504645996779e-25	0.315699003376113	0.694	0.403	4.54248420551548e-21	RA_BT	TAP1
MALAT1	1.2531767907909e-24	0.0303609992158562	0.999	1	2.74332931272037e-20	RA_BT	MALAT1
MACF1	1.55629457854665e-24	0.311880043984263	0.529	0.264	3.40688446189647e-20	RA_BT	MACF1
DOCK2	2.3387114554873e-24	0.278048462192874	0.409	0.168	5.11967324720724e-20	RA_BT	DOCK2
BDP1	2.54904014668966e-24	0.297817512347366	0.451	0.206	5.58010378511834e-20	RA_BT	BDP1
JAK3	3.63097357707339e-24	0.286910448353583	0.459	0.206	7.94856425757136e-20	RA_BT	JAK3
SPP1	4.36978474980178e-24	0.285366583199651	0.292	0.1	9.56589579579107e-20	RA_BT	SPP1
EIF2AK2	5.28697134901693e-24	0.307640460657827	0.429	0.198	1.1573708980133e-19	RA_BT	EIF2AK2
JUN	6.10634437394492e-24	0.326452542381021	0.559	0.307	1.33673984690028e-19	RA_BT	JUN
FMNL1	8.75499968823009e-24	0.300874103542921	0.74	0.45	1.91655698175045e-19	RA_BT	FMNL1
