p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
HLA-DRB1	1.46386979933872e-40	0.894245950560455	0.909	0.577	3.2045573777324e-36	OA_BT	HLA-DRB1
RPS4Y1	1.2676085524755e-33	1.05834809524741	0.449	0	2.77492188222412e-29	OA_BT	RPS4Y1
CD74	8.09578733918695e-23	0.443084303648082	0.852	0.812	1.77224880642141e-18	OA_BT	CD74
HLA-DRA	3.03074460142976e-22	0.5900500079582	0.795	0.658	6.63460300698988e-18	OA_BT	HLA-DRA
RPS26	5.46346784938755e-15	0.167754240796368	0.909	0.971	1.19600774690943e-10	OA_BT	RPS26
TXNIP	5.24681792834047e-14	0.284916113923497	0.818	0.901	1.14858091269301e-09	OA_BT	TXNIP
IL32	8.56117326092867e-14	0.16457989823231	0.972	0.985	1.87412643854989e-09	OA_BT	IL32
CST3	1.46484520691129e-12	0.666458755256094	0.5	0.279	3.20669264244951e-08	OA_BT	CST3
RPL11	1.66302801989511e-12	0.0658237950037153	0.949	0.996	3.64053463835239e-08	OA_BT	RPL11
PFN1	2.64834820889464e-12	0.155240297531538	0.864	0.952	5.79749906409126e-08	OA_BT	PFN1
RPL10	2.48526479803032e-10	0.0546040659622942	0.966	1	5.44049316936816e-06	OA_BT	RPL10
EIF1AY	4.12764935740071e-10	0.334437202701268	0.136	0	9.0358372082859e-06	OA_BT	EIF1AY
RPL12	1.39259157628098e-09	0.087115786697427	0.949	0.993	3.0485222196367e-05	OA_BT	RPL12
HLA-DPB1	3.84497512396516e-09	0.329935345991508	0.67	0.669	8.41703504387214e-05	OA_BT	HLA-DPB1
TMSB4X	6.94873156265737e-09	0.0738197913204903	1	1	0.000152114682638133	OA_BT	TMSB4X
RPSA	1.08457687360507e-08	0.0373218716213592	0.841	0.963	0.000237424723400885	OA_BT	RPSA
TMSB10	1.22545788489968e-08	0.0816817914172314	0.994	1	0.000268264985583389	OA_BT	TMSB10
RPS7	1.8005453792157e-08	0.059081578960706	0.926	0.989	0.000394157388964108	OA_BT	RPS7
SH3BGRL3	5.61200055818186e-08	0.0837104509054818	0.886	0.974	0.00122852304219159	OA_BT	SH3BGRL3
RPL19	6.35477220375236e-08	0.0534210645954354	0.949	0.993	0.00139112318312343	OA_BT	RPL19
ACTB	1.20284837934506e-07	0.0917122068258434	0.955	0.996	0.00263315538722427	OA_BT	ACTB
RPL18	1.57615446351575e-07	0.0460033253720518	0.938	0.989	0.00345035973608233	OA_BT	RPL18
HLA-DPA1	3.60431698363645e-07	0.283769122881921	0.665	0.713	0.00789021030887855	OA_BT	HLA-DPA1
CFL1	4.43232593211539e-07	0.0780251097115021	0.818	0.945	0.00970280469799381	OA_BT	CFL1
ATP5MC2	5.13055976904076e-07	0.117472015781203	0.727	0.871	0.0112313083904071	OA_BT	ATP5MC2
LIMD2	7.17473250117004e-07	0.292191445089414	0.636	0.684	0.0157062069183113	OA_BT	LIMD2
HLA-B	2.31164792882963e-06	0.0220925521371789	0.955	1	0.0506042848100094	OA_BT	HLA-B
RPS10	7.04873258277387e-06	0.0585264391267302	0.881	0.956	0.154303804969503	OA_BT	RPS10
HLA-DQA1	7.91294508554142e-06	0.434620819246436	0.392	0.257	0.173222280867587	OA_BT	HLA-DQA1
HLA-DQB1	1.18358880518635e-05	0.436080038008619	0.443	0.357	0.259099425343344	OA_BT	HLA-DQB1
RPL18A	1.29716964995279e-05	0.0426638351407527	0.949	0.996	0.283963408071166	OA_BT	RPL18A
CD1C	1.30920022086139e-05	0.160113842580227	0.068	0	0.286597020348766	OA_BT	CD1C
S100A4	1.55317194560139e-05	0.123288201250452	0.966	0.974	0.340004870611601	OA_BT	S100A4
FTL	1.70695498814392e-05	0.0479565814072491	0.926	0.989	0.373669516454586	OA_BT	FTL
RPLP1	2.20303248941836e-05	0.0338516889061191	0.977	0.996	0.482265842258573	OA_BT	RPLP1
ACTG1	2.96839447618392e-05	0.0743989127659208	0.818	0.952	0.649811234781423	OA_BT	ACTG1
CD52	3.03912682499277e-05	0.111988266941385	0.773	0.89	0.665295253259167	OA_BT	CD52
ARHGDIB	5.82726067194961e-05	0.0141992216593441	0.79	0.96	1	OA_BT	ARHGDIB
EEF1A1	9.08739915274877e-05	0.0220717395509369	0.966	0.996	1	OA_BT	EEF1A1
PMCH	0.000119671419201619	0.355134284406493	0.165	0.059	1	OA_BT	PMCH
SRP14	0.000138730099882913	0.0301117855892379	0.778	0.941	1	OA_BT	SRP14
RPL7A	0.000141036162755304	0.0206303104149941	0.915	0.978	1	OA_BT	RPL7A
HLA-DMA	0.000150667371791824	0.388125308183079	0.42	0.357	1	OA_BT	HLA-DMA
CORO1A	0.000195224001925923	0.0956375973075629	0.722	0.868	1	OA_BT	CORO1A
SERF2	0.000342700815984598	0.000622435645860842	0.835	0.974	1	OA_BT	SERF2
HLA-A	0.000360481931857665	0.00301784375397851	0.949	0.996	1	OA_BT	HLA-A
RPL6	0.00102922639781299	0.0305696196041252	0.943	0.989	1	OA_BT	RPL6
AES	0.00132984369625551	0.044097219308572	0.705	0.908	1	OA_BT	AES
UBC	0.00138351910502056	1.92450387792586e-05	0.818	0.952	1	OA_BT	UBC
H1FX	0.00146061654671378	0.333448406568667	0.477	0.489	1	OA_BT	H1FX
FXYD5	0.00188685442463844	0.0474661241954257	0.739	0.912	1	OA_BT	FXYD5
AKR1C3	0.00209563935322305	0.136088159481569	0.062	0.011	1	OA_BT	AKR1C3
GAPDH	0.00219406296232356	0.00721686404109523	0.841	0.978	1	OA_BT	GAPDH
GATA3-AS1	0.00221097794571536	0.0959645036377889	0.034	0	1	OA_BT	GATA3-AS1
KDM5D	0.00221097794571536	0.094825762186606	0.034	0	1	OA_BT	KDM5D
DDX3Y	0.00221097794571536	0.0856720653211742	0.034	0	1	OA_BT	DDX3Y
UTY	0.00221097794571536	0.083184934172245	0.034	0	1	OA_BT	UTY
S100A6	0.00283168749116233	0.0237981770477611	0.869	0.974	1	OA_BT	S100A6
COX4I1	0.00295151228381409	0.0312305013916512	0.705	0.868	1	OA_BT	COX4I1
RPL13	0.00319050122481573	0.00711081337228103	0.96	1	1	OA_BT	RPL13
UCP2	0.00322772536262952	0.116900172495661	0.682	0.809	1	OA_BT	UCP2
RPS9	0.00408980917296766	0.000645132604879306	0.875	0.967	1	OA_BT	RPS9
HINT1	0.00513626209117129	0.0195966943435697	0.693	0.875	1	OA_BT	HINT1
ZFY	0.00526739445661152	0.07834359987354	0.028	0	1	OA_BT	ZFY
CD1E	0.00526739445661152	0.0697383638400127	0.028	0	1	OA_BT	CD1E
TTTY15	0.00526739445661152	0.0694683128147234	0.028	0	1	OA_BT	TTTY15
AKAP7	0.00526739445661152	0.0644454969004546	0.028	0	1	OA_BT	AKAP7
CCL4L2	0.00539633837686528	0.143868341719552	0.062	0.015	1	OA_BT	CCL4L2
S100A10	0.00696081942122731	0.0473518752418312	0.903	0.967	1	OA_BT	S100A10
CD3E	0.00863463976801901	0.00651153891271994	0.71	0.886	1	OA_BT	CD3E
HAUS4	0.00933936508035776	0.112923673868056	0.051	0.011	1	OA_BT	HAUS4
MT-ATP6	1.17293374542254e-51	0.389502278507198	1	0.932	2.56766926210448e-47	RA_BT	MT-ATP6
XIST	5.84989769186073e-51	1.26291519976795	0.853	0.045	1.28060110372523e-46	RA_BT	XIST
MT-ND3	3.78476530932645e-42	0.47280643830742	0.996	0.875	8.28522973864654e-38	RA_BT	MT-ND3
MT-CO3	9.87572424624977e-38	0.317294796874463	0.996	0.943	2.16189479474654e-33	RA_BT	MT-CO3
SYNE2	8.12935940774851e-37	0.968462743276841	0.963	0.278	1.77959806795023e-32	RA_BT	SYNE2
MIAT	1.15840069706554e-28	0.806546391116076	0.588	0.04	2.53585496594616e-24	RA_BT	MIAT
SOCS3	2.24615225105526e-24	0.708387022511556	0.485	0.017	4.91705189278507e-20	RA_BT	SOCS3
DDX3X	6.51610581964265e-24	0.7002740496277	0.728	0.142	1.42644072497797e-19	RA_BT	DDX3X
MT-CO1	9.83676327029184e-24	0.179064600337278	0.996	0.977	2.15336584749959e-19	RA_BT	MT-CO1
TPR	1.16501079023141e-23	0.719782508060195	0.713	0.148	2.55032512089557e-19	RA_BT	TPR
RNF213	1.24484937648062e-22	0.725653560801118	0.875	0.318	2.72509977005373e-18	RA_BT	RNF213
IKZF3	1.16482495910508e-21	0.683187825249535	0.691	0.148	2.54991831797693e-17	RA_BT	IKZF3
IRF1	2.1700144737082e-21	0.654571179806133	0.713	0.165	4.75037868439461e-17	RA_BT	IRF1
SON	8.99103118240171e-21	0.635976696022727	0.857	0.256	1.96822663613956e-16	RA_BT	SON
MT-ND1	2.78476716465278e-20	0.392533671156503	0.993	0.801	6.0961338001414e-16	RA_BT	MT-ND1
ANKRD12	2.94966502735928e-20	0.667248426888235	0.868	0.33	6.4571117113922e-16	RA_BT	ANKRD12
MT-ND4	3.34342308926888e-20	0.24275431361633	0.996	0.92	7.3190874847185e-16	RA_BT	MT-ND4
GOLGA4	6.17817269116807e-20	0.602934872194847	0.489	0.051	1.3524637838236e-15	RA_BT	GOLGA4
AKAP9	7.58291230873007e-20	0.625758176610718	0.651	0.142	1.6599753335041e-15	RA_BT	AKAP9
MYADM	2.22430698659094e-19	0.66209552518562	0.577	0.108	4.86923042434622e-15	RA_BT	MYADM
SPP1	2.23954512174622e-19	0.638136532581986	0.485	0.057	4.90258822601466e-15	RA_BT	SPP1
MCL1	2.59304829556885e-19	0.62603663269558	0.864	0.307	5.67644202382977e-15	RA_BT	MCL1
MIR4435-2HG	3.46478451977151e-19	0.665071243904411	0.724	0.222	7.58475979223181e-15	RA_BT	MIR4435-2HG
SAMD9	3.93775319375268e-19	0.584757098835929	0.577	0.097	8.620135516444e-15	RA_BT	SAMD9
SMCHD1	4.44456788036766e-19	0.636212512192265	0.831	0.261	9.72960354691285e-15	RA_BT	SMCHD1
MBD2	4.64159910347852e-19	0.559083519144216	0.54	0.085	1.01609245974248e-14	RA_BT	MBD2
JUN	1.44323950387476e-18	0.612355536350242	0.445	0.04	3.15939559793223e-14	RA_BT	JUN
EML4	2.75431334241766e-18	0.541320017991069	0.562	0.097	6.02946733788651e-14	RA_BT	EML4
MT-ND2	3.48798532556146e-18	0.451881614577456	0.989	0.71	7.63554867618659e-14	RA_BT	MT-ND2
MT-ND5	3.77880102734543e-18	0.535133686555773	0.963	0.585	8.27217332896187e-14	RA_BT	MT-ND5
IDS	6.28462129913705e-18	0.58604967607922	0.695	0.176	1.37576644859409e-13	RA_BT	IDS
GIMAP7	7.58472112249305e-18	0.640293650812091	0.596	0.136	1.66037130092495e-13	RA_BT	GIMAP7
FAM118A	7.93931669664975e-18	0.542175945397609	0.441	0.045	1.7379958180636e-13	RA_BT	FAM118A
BPTF	1.21652235385447e-17	0.570039169034013	0.64	0.148	2.66308908482282e-13	RA_BT	BPTF
JUND	1.34110312037891e-17	0.545326217295244	0.949	0.551	2.93580884082147e-13	RA_BT	JUND
CRIP1	1.43136515943042e-17	0.626195745575084	0.912	0.392	3.13340147050913e-13	RA_BT	CRIP1
S100A9	1.64523541712403e-17	0.517350098371098	0.39	0.023	3.6015848516262e-13	RA_BT	S100A9
SOD2	2.05591184788935e-17	0.535314107926094	0.412	0.034	4.50059662621457e-13	RA_BT	SOD2
CD44	2.16534202851542e-17	0.609083594582025	0.941	0.415	4.74015023462311e-13	RA_BT	CD44
