p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SOCS3	4.06415626126075e-22	0.447351793172935	0.485	0.185	8.8968444715259e-18	RA_BT	SOCS3
RPL39	4.53468022804912e-22	0.131481070270667	0.993	0.989	9.92686848722233e-18	RA_BT	RPL39
RPL37	8.16047132120603e-16	0.112813885020606	0.996	0.987	1.78640877692521e-11	RA_BT	RPL37
MT-ND3	1.32047430041948e-15	0.0987288033275671	0.996	1	2.89065029104828e-11	RA_BT	MT-ND3
SMCHD1	3.6346771447127e-12	0.282362871831845	0.831	0.655	7.95667173749056e-08	RA_BT	SMCHD1
SYNE2	6.02403724553122e-12	0.218339893078428	0.963	0.859	1.31872199341924e-07	RA_BT	SYNE2
RPS28	1.18796071000196e-11	0.0780892453007378	0.996	0.994	2.60056479026529e-07	RA_BT	RPS28
RPL34	2.90683940462411e-11	0.0850785883072112	0.996	0.992	6.36336214066265e-07	RA_BT	RPL34
RPS15A	1.02805676539356e-10	0.0711606266412419	0.993	0.992	2.25051906512304e-06	RA_BT	RPS15A
S100A9	1.70437363809366e-10	0.278237386002641	0.39	0.187	3.73104433115083e-06	RA_BT	S100A9
RPL36	3.27680168011136e-10	0.0997918840781735	0.996	0.975	7.17324655793177e-06	RA_BT	RPL36
RPL41	1.24318366168479e-09	0.0594000210651155	1	0.994	2.72145335379417e-05	RA_BT	RPL41
GIMAP7	1.51305173429782e-09	0.307247673146459	0.596	0.392	3.31222155155135e-05	RA_BT	GIMAP7
RPS27	1.67694898567829e-09	0.0849259556802253	1	0.992	3.67100902454836e-05	RA_BT	RPS27
RPS29	2.41670693343375e-09	0.0889592133432466	0.996	0.986	5.29041314797983e-05	RA_BT	RPS29
RPS21	2.53192262053644e-09	0.131377654479284	0.963	0.936	5.54263180861631e-05	RA_BT	RPS21
MIAT	2.67237752909439e-09	0.292197775250609	0.588	0.401	5.85010164894053e-05	RA_BT	MIAT
RPLP2	7.67816406814688e-09	0.098906346939547	1	0.981	0.000168082689615803	RA_BT	RPLP2
RPL38	1.37638733286779e-08	0.142383343278801	0.967	0.915	0.000301304951038088	RA_BT	RPL38
GIMAP1	7.3663602227967e-08	0.247553673374052	0.324	0.168	0.00161256991637242	RA_BT	GIMAP1
AC005224.3	7.38949305938831e-08	0.268152236261093	0.375	0.215	0.00161763392563069	RA_BT	AC005224.3
