p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RPS27	1.93657702078778e-23	0.217899523538858	1	0.988	4.23936075620654e-19	RA_BT	RPS27
RPS29	8.65642004037761e-22	0.222946077603961	1	0.979	1.89497691103906e-17	RA_BT	RPS29
RPS28	8.86730892039581e-19	0.147243956548126	0.993	1	1.94114259576385e-14	RA_BT	RPS28
RPL34	2.25879761417914e-18	0.170394945554571	1	0.992	4.94473385719955e-14	RA_BT	RPL34
RPL39	7.53991971161261e-18	0.161610899212471	1	0.992	1.65056382406912e-13	RA_BT	RPL39
RPL37	2.99791551813886e-16	0.156169246347018	0.993	0.992	6.56273686075777e-12	RA_BT	RPL37
RPS15A	2.6072208135891e-15	0.136663875590283	1	0.988	5.7074670830279e-11	RA_BT	RPS15A
RPL36	3.35880500764953e-14	0.162215041863157	0.993	0.975	7.3527600422456e-10	RA_BT	RPL36
PPP2R5C	6.48683377659034e-14	0.464091534609246	0.83	0.564	1.42003278203339e-09	RA_BT	PPP2R5C
SOCS3	1.32444491824675e-13	0.525773241331093	0.503	0.183	2.89934237053396e-09	RA_BT	SOCS3
RPL41	1.96276216936608e-13	0.105119032079219	1	0.996	4.29668266495928e-09	RA_BT	RPL41
ETS1	5.96961007632438e-13	0.239444564495891	0.939	0.917	1.30680734180817e-08	RA_BT	ETS1
RPS10	1.21090914151816e-12	0.215593656888357	0.966	0.934	2.65080120169741e-08	RA_BT	RPS10
RPS21	1.67740522665526e-12	0.212041311239291	0.98	0.95	3.67200778167102e-08	RA_BT	RPS21
PTMA	1.71386987948988e-12	0.140152785943561	1	0.975	3.75183255319129e-08	RA_BT	PTMA
AC058791.1	1.32320819340256e-11	0.455551752634808	0.755	0.519	2.89663505617754e-07	RA_BT	AC058791.1
C1orf56	4.92062474309961e-11	0.473430723340447	0.66	0.398	1.07717396251194e-06	RA_BT	C1orf56
PTPRC	2.35691216951041e-10	0.15601622756642	1	0.967	5.15951643027524e-06	RA_BT	PTPRC
IFITM1	2.41009186900461e-10	0.488000393909225	0.639	0.411	5.275932110438e-06	RA_BT	IFITM1
RPL32	3.52958361998987e-10	0.108184038698146	1	0.992	7.72661150251981e-06	RA_BT	RPL32
RPL18A	3.95461079597558e-10	0.127633886970104	0.993	0.979	8.65703849347015e-06	RA_BT	RPL18A
LEF1	5.57278725533167e-10	0.417697853502322	0.327	0.087	1.21993885806466e-05	RA_BT	LEF1
RPS12	9.24650452509024e-10	0.123533412825583	0.993	0.979	2.0241523055875e-05	RA_BT	RPS12
RPL37A	1.03324436157214e-09	0.134033920359729	0.986	0.975	2.26187523191756e-05	RA_BT	RPL37A
RPL26	5.17276043892414e-09	0.118899645784369	0.993	0.967	0.000113236898768488	RA_BT	RPL26
FAU	6.76353197364751e-09	0.104675965845985	1	0.983	0.000148060478435118	RA_BT	FAU
SELL	8.58382519246348e-09	0.366570789762338	0.769	0.622	0.000187908517288218	RA_BT	SELL
RPL38	1.40342541211645e-08	0.167430405083904	0.959	0.942	0.000307223856966413	RA_BT	RPL38
PPP1CB	1.65060880576593e-08	0.309291573912844	0.762	0.593	0.000361334773670219	RA_BT	PPP1CB
RPL30	1.79593723913762e-08	0.0923598655213609	1	0.996	0.000393148621019617	RA_BT	RPL30
SARAF	2.21632899362954e-08	0.192590541071731	0.946	0.921	0.000485176579995442	RA_BT	SARAF
LEPROTL1	3.19666426864089e-08	0.243977242330258	0.823	0.768	0.000699781775048178	RA_BT	LEPROTL1
RPLP2	4.13420666436045e-08	0.117353995143411	1	0.992	0.000905019180895145	RA_BT	RPLP2
RPS3A	4.3005064729512e-08	0.133497417143305	0.993	0.971	0.000941423871993747	RA_BT	RPS3A
RPL35A	5.12773046050698e-08	0.0990099172729977	0.973	0.971	0.00112251147510958	RA_BT	RPL35A
RPL17	1.24800179258628e-07	0.303187820259818	0.762	0.643	0.00273200072415062	RA_BT	RPL17
RPS8	1.51053507406437e-07	0.113579225669995	1	0.983	0.00330671233063431	RA_BT	RPS8
JUNB	2.95068142027154e-07	0.305544023169407	0.755	0.651	0.00645933669711642	RA_BT	JUNB
RPL23A	5.04559740944536e-07	0.114315058319384	0.986	0.963	0.0110453172890168	RA_BT	RPL23A
RPL21	1.18863859999431e-06	0.118252952584356	0.973	0.975	0.0260204875924754	RA_BT	RPL21
SATB1	1.25168293331006e-06	0.280114650300398	0.204	0.05	0.0274005910930906	RA_BT	SATB1
AC016831.5	1.38761170150613e-06	0.329718909844514	0.619	0.469	0.0303762077576706	RA_BT	AC016831.5
RPL11	1.61949556311106e-06	0.0803616758696597	0.993	0.988	0.0354523773720643	RA_BT	RPL11
CREM	1.71955038258816e-06	0.30782442862359	0.687	0.535	0.0376426774252375	RA_BT	CREM
RPS16	1.87875636177808e-06	0.103253401060283	0.986	0.979	0.041127855515684	RA_BT	RPS16
GIMAP7	1.93404834739432e-06	0.363799013263365	0.517	0.32	0.0423382523728091	RA_BT	GIMAP7
RPS13	2.18795954404821e-06	0.0904315202476857	0.993	0.992	0.0478966223787594	RA_BT	RPS13
S100A9	2.72266564235222e-06	0.335536280572829	0.347	0.158	0.0596018735767326	RA_BT	S100A9
RPL22	2.896665950324e-06	0.128333355328943	0.966	0.954	0.0634109143185426	RA_BT	RPL22
CCDC167	4.26193146172385e-06	0.289682388464157	0.66	0.498	0.0932979416285969	RA_BT	CCDC167
RPL29	4.52937805100335e-06	0.0861557471454135	0.986	0.979	0.0991526149145144	RA_BT	RPL29
SESN3	5.64944300189464e-06	0.328475104713492	0.32	0.145	0.123671956754476	RA_BT	SESN3
MAP3K1	6.38230227063979e-06	0.30140681823914	0.469	0.27	0.139714979006576	RA_BT	MAP3K1
KLF2	7.75030653782206e-06	0.244417064259633	0.912	0.805	0.169661960419463	RA_BT	KLF2
LRRC75A	8.08959134057578e-06	0.270588281464501	0.327	0.149	0.177089244036544	RA_BT	LRRC75A
LINC00513	1.0422729971342e-05	0.304264050176738	0.442	0.249	0.228163981802648	RA_BT	LINC00513
KLF3	1.45179557766974e-05	0.322997584005348	0.395	0.207	0.317812569907684	RA_BT	KLF3
DDX6	1.47320297476087e-05	0.280829976615146	0.592	0.436	0.322498863204903	RA_BT	DDX6
RPL28	1.56366331183339e-05	0.055442551615406	1	0.996	0.342301535593448	RA_BT	RPL28
TOMM7	1.68084261211063e-05	0.15981815730394	0.857	0.826	0.367953256217137	RA_BT	TOMM7
RPL36A	1.72445840120562e-05	0.208503124282054	0.782	0.714	0.377501188607923	RA_BT	RPL36A
RPL13A	1.85818295324349e-05	0.0906373385689132	0.993	0.971	0.406774830294533	RA_BT	RPL13A
HSBP1L1	1.87168790217817e-05	0.154865919655648	0.109	0.012	0.409731198665823	RA_BT	HSBP1L1
STAT5B	1.93115715283307e-05	0.2908240037741	0.435	0.253	0.422749612326688	RA_BT	STAT5B
