p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SPP1	3.70627256708251e-17	0.561565124169143	0.44	0.113	8.11340127660032e-13	RA_BT	SPP1
SOCS1	3.11124699102865e-11	0.418961843708813	0.584	0.257	6.81083078806082e-07	RA_BT	SOCS1
SYNE2	8.46037004777819e-10	0.286040142737704	0.976	0.814	1.85205960715912e-05	RA_BT	SYNE2
SOCS3	1.14660798942628e-09	0.374107860058106	0.464	0.186	2.51003954965306e-05	RA_BT	SOCS3
FYB1	1.65550705361056e-09	0.284790379731517	0.936	0.793	3.62407049105888e-05	RA_BT	FYB1
MT-ND1	2.68577707798051e-09	0.104607056192378	0.992	0.997	5.87943460140713e-05	RA_BT	MT-ND1
GOLGA8A	5.26442869254015e-09	0.279586902979031	0.288	0.083	0.000115243608508396	RA_BT	GOLGA8A
MT-ND3	5.94986986651396e-09	0.0879330966827894	0.992	1	0.000130248601247857	RA_BT	MT-ND3
PIM1	6.57141603000135e-09	0.372364890468802	0.64	0.327	0.00014385486831276	RA_BT	PIM1
XAF1	4.61489253252924e-08	0.388506178367092	0.536	0.28	0.00101024612429598	RA_BT	XAF1
MLLT6	5.92082618788583e-08	0.321606114784758	0.52	0.252	0.00129612806079009	RA_BT	MLLT6
MT-CO1	7.59392620554063e-08	0.0491541037871106	0.992	1	0.0016623863856549	RA_BT	MT-CO1
ATRX	9.2119362361922e-08	0.339820280232703	0.816	0.499	0.00201658496146483	RA_BT	ATRX
UQCRB	1.02587741488997e-07	0.252978777202141	0.928	0.776	0.00224574824893562	RA_BT	UQCRB
JAK3	1.605968142688e-07	0.320174211740969	0.64	0.33	0.0035156248611583	RA_BT	JAK3
SMCHD1	2.07450042657752e-07	0.31527407149057	0.856	0.597	0.00454128888382085	RA_BT	SMCHD1
LCP2	2.18963993168808e-07	0.324747340316653	0.576	0.315	0.00479334077445838	RA_BT	LCP2
TRIM56	3.21282717115842e-07	0.303910351685162	0.544	0.272	0.00703319996038291	RA_BT	TRIM56
TPST2	3.73492967559958e-07	0.259356497766681	0.312	0.118	0.00817613455285504	RA_BT	TPST2
AIF1	4.02309091069388e-07	0.251381807495189	0.328	0.121	0.00880694831259997	RA_BT	AIF1
GON4L	4.41736399642734e-07	0.269779563373431	0.488	0.234	0.00967005152457909	RA_BT	GON4L
RNF213	4.75545157456386e-07	0.255064801125128	0.888	0.725	0.0104101590418778	RA_BT	RNF213
SBF1	7.39478245010919e-07	0.221957237603259	0.256	0.083	0.016187918261534	RA_BT	SBF1
C8orf59	8.89123293268347e-07	0.260165646785821	0.456	0.207	0.0194637980129374	RA_BT	C8orf59
S100A8	1.00859133090634e-06	0.249385982603574	0.304	0.116	0.0220790728248707	RA_BT	S100A8
CEP128	1.15356524465094e-06	0.181963834425562	0.216	0.063	0.0252526967706537	RA_BT	CEP128
GIMAP7	1.24124490437195e-06	0.332279013007777	0.688	0.436	0.0271720922016063	RA_BT	GIMAP7
PLCG1	1.48117285708306e-06	0.166393910671131	0.144	0.03	0.0324243550144054	RA_BT	PLCG1
AMFR	1.52231650376283e-06	0.170272964353754	0.2	0.055	0.0333250305838721	RA_BT	AMFR
SULT1A3	1.59369103505275e-06	0.0972788493594258	0.096	0.01	0.0348874904483397	RA_BT	SULT1A3
CBX1	2.88767257726075e-06	0.199425759339224	0.256	0.091	0.0632140403888152	RA_BT	CBX1
WIPF2	2.93758455661864e-06	0.214455901100394	0.328	0.128	0.0643066635289388	RA_BT	WIPF2
RERE	3.06313812810344e-06	0.167003321217568	0.224	0.071	0.0670551567623125	RA_BT	RERE
TGOLN2	3.12655066323268e-06	0.29366417690999	0.688	0.408	0.0684433205688267	RA_BT	TGOLN2
DNMT1	3.16808738023286e-06	0.256797387808935	0.384	0.169	0.0693526008406775	RA_BT	DNMT1
SPG11	3.19743892347821e-06	0.212601047579502	0.336	0.136	0.0699951354738614	RA_BT	SPG11
AQP3	3.44860175757413e-06	0.296939452941087	0.56	0.297	0.0754933410750553	RA_BT	AQP3
S100A9	3.59810877723493e-06	0.249694672300331	0.44	0.204	0.0787661992424498	RA_BT	S100A9
HIST1H2BN	3.69524639049046e-06	0.194233816960222	0.184	0.05	0.0808926387342266	RA_BT	HIST1H2BN
PTPN1	4.10936471843632e-06	0.281673388533273	0.6	0.327	0.0899581030512895	RA_BT	PTPN1
CPSF6	4.18727505222805e-06	0.215796217287653	0.312	0.126	0.0916636381683242	RA_BT	CPSF6
GTPBP2	4.7259696550568e-06	0.146038812528469	0.144	0.033	0.103456201718848	RA_BT	GTPBP2
PDK1	5.40434101525069e-06	0.197847251422797	0.28	0.106	0.118306429164853	RA_BT	PDK1
TRIM14	5.55826007783105e-06	0.263212046927634	0.568	0.292	0.121675871363799	RA_BT	TRIM14
GIMAP1	5.64285487057558e-06	0.269745276723798	0.384	0.181	0.12352773597177	RA_BT	GIMAP1
DOLK	6.16686439271216e-06	0.085839421976518	0.072	0.005	0.134998828420862	RA_BT	DOLK
GOLGA4	6.85814922065899e-06	0.292021052842228	0.536	0.307	0.150131744589446	RA_BT	GOLGA4
FBXO2	7.86001588286319e-06	0.122344166610143	0.12	0.023	0.172063607691758	RA_BT	FBXO2
NMI	8.42659314684727e-06	0.2300656699216	0.384	0.176	0.184466550577634	RA_BT	NMI
SEMA4D	8.86979974642138e-06	0.242604857454111	0.368	0.174	0.19416878624891	RA_BT	SEMA4D
ARHGAP45	9.10834706603226e-06	0.262435892641	0.552	0.305	0.199390825622512	RA_BT	ARHGAP45
ARHGEF1	1.00970216755896e-05	0.280211827426127	0.744	0.448	0.221033901500331	RA_BT	ARHGEF1
AC005224.3	1.04803064944325e-05	0.25773641299728	0.416	0.202	0.229424389469621	RA_BT	AC005224.3
ZMYND8	1.07253109011783e-05	0.208874743770052	0.296	0.123	0.234787780937694	RA_BT	ZMYND8
SLC9A1	1.07378552347894e-05	0.116621858449544	0.112	0.02	0.235062388944774	RA_BT	SLC9A1
LASP1	1.08316680048827e-05	0.237563492078712	0.424	0.209	0.237116044294886	RA_BT	LASP1
SSTR3	1.16263041781809e-05	0.0682098014450036	0.048	0	0.254511424764557	RA_BT	SSTR3
CCNE2	1.16263041781809e-05	0.06562865405013	0.048	0	0.254511424764557	RA_BT	CCNE2
LGALS8	1.17427419407669e-05	0.214929099974005	0.312	0.131	0.257060363825328	RA_BT	LGALS8
TMC8	1.37434200614691e-05	0.244213420230352	0.376	0.184	0.300857208565621	RA_BT	TMC8
UBR1	1.43819622657361e-05	0.176844029421217	0.24	0.086	0.314835535959229	RA_BT	UBR1
RPL23	1.44075051636259e-05	0.159848855696031	0.976	0.904	0.315394695536935	RA_BT	RPL23
PCSK7	1.55492576778485e-05	0.282494379395325	0.776	0.542	0.340388799825782	RA_BT	PCSK7
ZMYM3	1.55703743098749e-05	0.110593758907895	0.096	0.015	0.340851064017471	RA_BT	ZMYM3
ABCB7	1.56214699461814e-05	0.173650056787956	0.192	0.06	0.341969598591857	RA_BT	ABCB7
BTG2	1.60004429911191e-05	0.252267416159582	0.536	0.3	0.350265697518589	RA_BT	BTG2
ZNF124	1.76675246221594e-05	0.114340689268748	0.096	0.015	0.386759781503692	RA_BT	ZNF124
ABL2	1.77273790731921e-05	0.0925823893229051	0.104	0.018	0.388070055291248	RA_BT	ABL2
TECPR1	1.82831538487766e-05	0.180671885406474	0.216	0.073	0.400236520903569	RA_BT	TECPR1
HPS4	1.93523089017012e-05	0.1548069472434	0.232	0.081	0.42364139416714	RA_BT	HPS4
ZFP36L2	1.94684129199274e-05	0.274429993180437	0.76	0.542	0.426183027230131	RA_BT	ZFP36L2
MALAT1	1.94694982816779e-05	0.0366113581989285	1	1	0.426206786884212	RA_BT	MALAT1
DENND2D	1.94898970418654e-05	0.23655058810317	0.344	0.161	0.426653336143476	RA_BT	DENND2D
MTRF1L	1.96252388046524e-05	0.162039694563502	0.184	0.058	0.429616102672645	RA_BT	MTRF1L
SMC1A	2.20856708892989e-05	0.2248794113735	0.36	0.171	0.483477421437643	RA_BT	SMC1A
TRPM7	2.28463938816197e-05	0.198682561965176	0.288	0.123	0.500130408462537	RA_BT	TRPM7
ZKSCAN4	2.35060701031203e-05	0.0956926934750977	0.088	0.013	0.514571380627407	RA_BT	ZKSCAN4
GCC2	2.35489568484155e-05	0.277782571502281	0.704	0.446	0.515510214368663	RA_BT	GCC2
MIAT	2.35604885938398e-05	0.297823076053782	0.536	0.33	0.515762655807747	RA_BT	MIAT
MT-CO3	2.40034462666085e-05	0.0400635999062953	0.992	1	0.525459442222328	RA_BT	MT-CO3
MT2A	2.50113855879093e-05	0.286303026053618	0.64	0.385	0.547524241904923	RA_BT	MT2A
EML4	2.54067707499606e-05	0.26008722993043	0.648	0.39	0.556179618487387	RA_BT	EML4
NDE1	2.56147974480535e-05	0.200305145250182	0.296	0.128	0.560733530935339	RA_BT	NDE1
TRIP11	2.73366084807569e-05	0.225958178845679	0.376	0.186	0.598425696252249	RA_BT	TRIP11
MCMBP	2.73530911909274e-05	0.170706644698679	0.248	0.093	0.598786519260592	RA_BT	MCMBP
CEBPB	2.76120564380167e-05	0.231749140847865	0.52	0.285	0.604455527484624	RA_BT	CEBPB
NCOR1	2.79487408299451e-05	0.248817988639691	0.728	0.489	0.611825885508328	RA_BT	NCOR1
CCDC144A	2.81112745265202e-05	0.0822403291724377	0.064	0.005	0.615383910660053	RA_BT	CCDC144A
NARF	2.85225166694325e-05	0.248164428579384	0.504	0.272	0.624386412410546	RA_BT	NARF
AKNA	3.03265774025606e-05	0.257654248662487	0.584	0.348	0.663879105919455	RA_BT	AKNA
PABPC1	3.0347039148968e-05	0.207447023936176	0.864	0.741	0.664327034010058	RA_BT	PABPC1
ZNF780B	3.20446817886018e-05	0.111702145733401	0.104	0.02	0.701490129034281	RA_BT	ZNF780B
CABIN1	3.26383255137106e-05	0.153299810897057	0.224	0.081	0.71448558382064	RA_BT	CABIN1
AHCYL1	3.5234026257791e-05	0.195997673514099	0.312	0.141	0.771308068809302	RA_BT	AHCYL1
HELZ	3.5481785992107e-05	0.205760277248756	0.36	0.171	0.776731777153214	RA_BT	HELZ
ARHGAP27	3.61616581847402e-05	0.167330265347535	0.2	0.068	0.791614859322147	RA_BT	ARHGAP27
